# TESS Program G022028

Title: White Dwarf Variability In The Ecliptic North

PI: Hermes, James - Boston University

Type: SMALL

Summary: We propose 2-min-cadence observations of 1346 white dwarfs visible in Cycle 2 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed observations will also enable asteroseismology of a large sample of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of pulsating white dwarfs. From both asteroseismology and spot modulation of magnetic white dwarfs we will significantly expand the number of white dwarfs with measured rotation rates, placing strong constraints on the endpoints of angular momentum in stars.


# Sector 014 targets observed (186)
198316592,234.4336,65.0311,14.56,G022077;G022028;G022017
202420264,225.2095,64.2775,16.15,G022077;G022028;G022176
202440506,227.4109,63.5399,14.71,G022077;G022028;G022017
230059745,228.9707,66.7124,15.4,G022077;G022028
232979174,218.5735,65.6665,16.24,G022077;G022028
237104515,241.4014,68.235,16.22,G022077;G022028
458484139,235.4372,64.8977,15.62,G022077;G022028
153974882,202.9429,68.1647,16.02,G022077;G022028
153989648,204.0781,69.8288,15.53,G022077;G022028
153991946,204.7038,70.2853,13.02,G022017;G022028;G022077
159585994,208.0426,65.4166,15.61,G022077;G022028
219460164,207.1815,74.2626,16.16,G022077;G022028
229535313,195.34,67.2189,16.13,G022077;G022028
232972481,199.4652,67.5331,15.92,G022028
313109945,211.4177,74.6499,18.16,G022077;G022028
445857760,203.7493,69.7584,15.84,G022077;G022028
142584631,166.4816,74.6109,15.29,G022077;G022028
142785684,154.5757,76.6741,13.9,G022028;G022069
154567033,190.5046,75.1458,15.5,G022028
154903874,197.1851,85.0398,15.3,G022077;G022028
156170444,178.6772,79.241,15.81,G022077;G022028
156197735,180.4296,80.0829,16.05,G022077;G022028
160272537,186.2007,79.3453,15.78,G022028
219437497,206.3684,76.2267,16.05,G022028
232520712,192.5366,77.2223,16.44,G022077;G022028
232524621,194.1137,77.8837,15.65,G022028
355977196,179.944,73.5905,16.17,G022077;G022028
459211608,149.8045,80.1821,12.47,G022028
103570864,149.6289,69.4829,16.23,G022077;G022028
103631104,151.6764,69.6974,16.1,G022077;G022028
142488005,160.8422,74.5127,16.22,G022077;G022028
142793398,163.0631,71.2604,16.2,G022077;G022028
147921014,165.1419,71.634,15.12,G022077;G022028;G022017
313026786,144.5892,72.705,15.89,G022077;G022028
86375106,144.2893,65.1295,15.18,G022077;G022028;G022217;G022069
100012963,173.4484,62.7209,15.96,G022077;G022028;G022217
100013600,173.6859,61.1403,15.06,G022077;G022028;G022057;G022158
138589319,176.4333,63.0979,15.72,G022077;G022028;G022176
142905656,177.7184,68.5209,14.84,G022077;G022028
149916959,160.4876,63.1168,15.47,G022077;G022028
157328515,181.16,60.5354,13.98,G022077;G022028;G022217;G022017
284566548,171.72,59.3211,15.11,G022077;G022028
298000205,173.8926,57.4138,16.2,G022077;G022028
99868496,166.7473,61.6568,16.41,G022077;G022028
99868786,166.9261,59.974,14.04,G022077;G022028;G022017

# Sector 015 targets observed (186)
136513972,317.4646,42.9513,15.65,G022077;G022028;G022176
138528843,319.7562,42.1054,16.61,G022028
240605201,324.2987,47.5833,15.5,G022028
297612231,313.4478,42.064,17.07,G022028
304108055,315.3004,45.3389,16.17,G022077;G022028;G022217
351571596,325.8682,41.7205,18.6,G022028
353096380,312.2612,45.0101,15.6,G022077;G022028
356613625,312.6574,42.7718,15.96,G022077;G022028
366740395,311.6489,45.986,15.79,G022028
455522746,328.3669,43.534,16.19,G022077;G022028
135859903,305.2864,31.4763,16.15,G022077;G022028
15560205,307.0073,40.9404,16.9,G022028
16200170,307.4851,39.2261,13.68,G022077;G022028;G022017
171410228,298.8626,37.582,16.05,G022028
17373558,308.3413,39.9022,15.82,G022077;G022028
193034150,304.9524,42.554,16.36,G022077;G022028
194061710,312.0339,39.8601,14.79,G022077;G022028;G022017
194154544,312.279,37.4714,13.18,G022077;G022028
194624906,312.7019,36.1789,16.29,G022028
199179022,306.4471,35.9032,15.5,G022077;G022028;G022217
203054851,304.6163,35.5214,15.9,G022077;G022028;G022217
311948770,303.2892,40.0402,13.96,G022077;G022028;G022217;G022017
380298520,303.4311,34.2326,15.7,G022028
42848109,302.6732,36.8829,15.88,G022028
66140007,311.0044,40.5041,15.52,G022077;G022028
66488952,311.3668,38.7407,15.82,G022077;G022028
92645042,303.0059,32.7939,16.79,G022028
126341974,315.5533,24.9609,16.65,G022028
13658517,320.5849,25.0742,16.43,G022077;G022028
161715574,309.5439,31.6221,16.39,G022077;G022028
232951587,311.9377,32.6561,15.47,G022028;G022077
282764015,312.3462,26.4216,16.48,G022028;G022217
283063053,313.2646,29.7674,15.7,G022077;G022028
283903463,316.2195,23.5552,16.02,G022077;G022028
286862643,313.594,23.6284,16.49,G022028
298186852,308.5888,25.0607,11.79,G022077;G022028;G022017
387327138,318.442,26.3572,14.47,G022077;G022028;G022017
419411618,313.6945,24.4581,15.93,G022077;G022028
428831740,315.4353,31.8092,14.99,G022077;G022028;G022176
429685629,317.1937,31.696,12.62,G022028
160512940,322.9376,35.2012,15.64,G022077;G022028
160516648,322.8865,33.3835,15.46,G022028
162334232,331.9661,34.4792,15.13,G022077;G022028
162392243,332.2395,31.254,16.35,G022077;G022028
163802843,320.9797,34.3382,15.63,G022077;G022028;G022217
