# TESS Program G03251

Title: Asteroseismology Of Solar-Type Stars With TESS

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Asteroseismology is one of the most powerful methods to determine fundamental properties of solar-type stars. However, the currently known sample of stars with asteroseismic detections is small, and many of them are too faint to have the independent constraints necessary to constrain poorly understood stellar interior physics such as convection. Here we propose 2-minute and 20-second cadence observations for the TESS Asteroseismic Science Consortium (TASC) that will double the Cycle 1 asteroseismic yield of solar-type stars, allowing us to (i) establish the first catalog of asteroseismic benchmark stars in the southern ecliptic hemisphere, (ii) probe the physics of stellar convection in solar-type stars and (iii) investigate the efficiency of convective mode excitation for hot stars.


# Sector 027 targets observed (2 min: 4573, 20 s: 42)
126786046,316.8515,-43.4279,10.05,G03251
126802858,316.9205,-45.7689,7.74,G03251
126819616,317.327,-47.1783,9.71,G03251
126891397,317.8023,-42.6403,9.23,G03251
126911883,318.1569,-42.8708,9.52,G03251
126946438,318.7643,-44.5362,7.69,G03251
129294115,303.7077,-43.4574,10.58,G03251
129399713,304.0574,-42.6445,8.69,G03251
129432030,304.4718,-44.5539,9.7,G03251
129461288,304.6374,-44.4567,10.33,G03251
129462560,304.5661,-42.8604,6.7,G03251
129463749,304.6635,-42.6211,6.91,G03251
129528024,304.8886,-44.1412,10.46,G03251
129529326,304.8854,-42.3181,9.86,G03251;G03212
129542822,305.1346,-47.2109,8.75,G03251
129542959,305.1768,-47.0197,9.38,G03251
129543945,305.2252,-45.5459,6.88,G03251
129544969,305.2644,-44.1144,10.48,G03251
129568569,305.3948,-44.987,8.82,G03251
129571579,305.5121,-46.3308,9.14,G03251
129583326,305.6433,-47.4796,9.38,G03251
138983097,306.2427,-46.5496,10.89,G03251
138993983,306.1621,-43.1179,9.4,G03251
138995584,306.5214,-47.5615,9.34,G03251
138996444,306.5201,-46.6601,6.49,G03255;G03251
139024733,306.7591,-45.6559,8.8,G03251
139024920,306.608,-46.054,8.4,G03251
139025831,306.66,-47.9618,8.14,G03251
139026367,306.7948,-46.8622,8.7,G03251
139056146,307.0503,-42.414,10.36,G03251
139056239,307.0002,-42.6203,7.69,G03251
139056240,306.9868,-42.6208,8.21,G03251
139056841,307.0221,-43.7965,9.51,G03251
139057067,306.9897,-44.2105,9.79,G03251
139059494,318.9094,-46.1039,10.48,G03251
139064796,318.8674,-44.4922,8.47,G03251
139089453,319.4917,-42.4737,9.34,G03251
139112038,319.6155,-43.3345,6.16,G03227;G03272;G03251
139113365,319.7823,-44.1989,7.91,G03251
159670453,318.0576,-40.2706,5.41,G03227;G03251
