# TESS Program G03186

Title: Pulsations And Disks Of Be Stars As Tracers Of Stellar Structure, Evolution, Pulsation-Driven Mass Loss And Disk Physics

PI: Labadie-Bartz, Jonathan - Universidade De Sao Paulo

Type: SMALL

Summary: Be stars are near-critically rotating non-radially pulsating B-type stars that episodically eject mass and form orbiting viscous 'decretion' disks. As such, they are valuable astrophysical laboratories for a variety of processes. Be stars show diverse behavior with widely ranging timescales and magnitudes, necessitating a statistical study of the class. They are bright and relatively common, but tend to lie near the Galactic plane and have largely been avoided by space photometry. TESS thus provides an excellent and rare opportunity to study Be stars, and in particular their pulsational properties which may hold the key as to what drives the enigmatic Be phenomenon. We will obtain spectra and polarization measurements simultaneous with the TESS observations of selected targets.


# Sector 027 targets observed (2 min: 9, 20 s: 0)
303854566,104.6267,16.3239,10.44,G03186
445988959,106.3945,14.4731,7.16,G03186
153541389,93.4257,8.7124,8.07,G03186
156627345,90.8927,9.6652,9.34,G03186
167107487,93.8988,7.6523,7.52,G03186
167110617,93.9174,6.0661,6.19,G03186
206792542,96.7087,10.9321,8.83,G03186
206840215,96.8452,8.4119,8.96,G03186
207020262,97.5008,8.2959,8.67,G03186
207043038,97.7899,11.2514,6.14,G03186
220114410,98.7934,6.5717,9.57,G03186
229355590,98.4309,8.0361,9.33,G03186
229356387,98.3843,8.3356,8.28,G03186
234813367,97.6372,5.867,6.08,G03186
234929785,98.2469,5.8003,8.42,G03186
263805130,96.0007,8.3007,9.69,G03186
263806715,96.0094,8.885,6.3,G03186
291385725,94.3942,11.1909,9.46,G03186
294125876,92.8663,13.6385,6.01,G03186
294308857,92.889,14.2389,9.01,G03186
307015842,98.2733,16.9487,7.65,G03186
434304760,93.4757,16.5181,8.9,G03186
437994564,94.6897,15.2812,10.23,G03186
438103655,95.8528,15.1018,7.69,G03186
438306275,96.8157,14.8892,6.23,G03186
59353886,89.1843,16.0172,9.2,G03186
59468405,92.114,13.9309,8.83,G03186;G03059
91689592,88.5045,12.6842,10.32,G03186
48541963,96.3338,-26.8953,9.07,G03186
