# TESS Program G07092

Title: Discovery And Occurrence Rates Of Disintegrating Minor Planets Transiting White Dwarfs

PI: Becker, Juliette - University Of Wisconsin-Madison

Type: SMALL

Summary: Many white dwarfs have been found to have their surfaces "polluted" by remnant rocky bodies from their progenitors' planetary systems. These polluted white dwarfs are our best observational probe of exoplanet interior chemical compositions, which they can reveal with exquisite sensitivity. However, without a good understanding of the origins of white dwarf pollution, it is impossible to fully leverage the information about chemical compositions from the pollution on their surfaces. Observations by Kepler and TESS have begun illuminating the origins and process by which white dwarf pollution takes place by identifying transiting disintegrating minor planets on their way to polluting white dwarfs. Here for TESS Cycle 7, we propose the largest search to date to search for transiting debris ar


# Sector 084 targets observed (2 min: 299, 20 s: 71)
1884508517,291.0116,74.4542,17.45,G07036;G07092
1884531096,294.4797,74.1591,17.82,G07036;G07092
1884556291,296.6833,76.6411,17.44,G07036;G07092
219099282,270.0393,68.5972,15.21,G07036;G07092
229581336,270.3134,72.3136,16.18,G07084;G07036;G07092
229742116,279.8192,70.9629,16.99,G07036;G07092
229762574,281.2878,68.3762,15.72,G07036;G07092
229770890,282.1752,68.8784,17.12,G07036;G07009;G07092
233206916,266.0307,68.2382,16.24,G07036;G07092
235672689,282.7822,77.6433,16.51,G07036;G07092
235674456,282.8174,73.0267,16.32,G07036;G07092
237223287,296.2535,73.2757,16.61,G07036;G07092
258775274,286.3166,68.1071,17.11,G07036;G07092
264172524,294.5821,69.1535,16.55,G07084;G07036;G07092
280033055,297.6914,71.9282,16.75,G07036;G07092
341873883,275.1554,74.9009,16.62,G07036;G07009;G07092
356822524,275.0691,70.8899,16.99,G07036;G07092
367840218,276.2883,77.9266,16.46,G07036;G07092
441791113,262.4477,75.67,17.0,G07036;G07092
441803619,265.5041,75.0981,16.6,G07036;G07009;G07092
1102469580,234.4462,67.3243,17.61,G07036;G07092
1102493238,235.1585,67.9374,16.59,G07036;G07020;G07092
1102555267,233.3559,70.2624,16.89,G07036;G07092
1201200652,245.2631,59.9047,17.86,G07036;G07092
1201210846,248.2119,61.6552,17.54,G07036;G07092
1201246068,242.5967,63.0146,17.1,G07036;G07092
1201247061,244.0693,63.1674,18.12,G07036;G07092
1201247611,242.8915,63.1421,18.03,G07025;G07036;G07092
1201254623,244.8912,64.2146,18.02,G07036;G07092
1201258377,244.8272,64.7253,17.93,G07036;G07092
1201286482,240.1118,67.7814,17.49,G07036;G07092
1201291460,241.7223,67.5589,16.99,G07036;G07092
1201307286,248.2834,67.5582,16.73,G07036;G07092
1201308605,247.2888,67.551,17.94,G07036;G07092
1201313927,245.7072,68.7551,17.94,G07036;G07092
1201328460,243.9284,70.9838,17.98,G07036;G07092
1271189683,250.1723,62.2728,17.69,G07036;G07092
1271189980,250.317,62.5232,17.8,G07036;G07092
1271207175,256.7247,63.2829,17.73,G07036;G07092
1271218438,250.9604,63.4748,17.02,G07036;G07092
1271222838,256.7674,64.2265,17.67,G07036;G07092
1271223251,254.8607,63.8701,17.94,G07036;G07092
1271228784,254.3904,64.6501,17.79,G07036;G07092
1271245348,255.175,65.7313,17.92,G07036;G07092
1271246002,253.7558,65.6227,17.93,G07036;G07092
1271250455,254.8123,66.1769,17.29,G07084;G07036;G07092
1271262829,255.0012,67.5413,17.36,G07036;G07092
1271265755,257.4871,68.3354,16.96,G07036;G07092
1271276572,257.6767,68.6692,17.17,G07036;G07092
1271282343,250.099,68.9067,16.69,G07036;G07092
1271290530,254.001,69.5785,17.42,G07036;G07092
1271298334,255.4988,71.3741,17.51,G07036;G07092
1271318147,250.2482,71.4492,16.81,G07036;G07092
1271321142,252.3178,72.4029,17.85,G07036;G07092
1271322213,253.674,72.9564,17.6,G07036;G07092
198158212,242.9065,61.6931,16.28,G07036;G07092
198182753,245.0893,64.6002,15.98,G07036;G07092
198316592,234.4332,65.0314,14.56,G07036;G07092
198554945,237.7903,62.4563,16.65,G07036;G07092
230088036,247.1608,70.8862,16.95,G07036;G07092
230135750,252.8574,66.5858,16.53,G07036;G07092
232605099,257.9268,64.48,16.39,G07036;G07092
232983098,241.5264,70.374,16.26,G07036;G07009;G07092
289538721,251.3695,64.8941,16.27,G07036;G07092
320323992,246.6645,74.506,15.73,G07036;G07071;G07092
1201194272,248.495,59.2021,17.16,G07084;G07036;G07092;20SECONDTARGET
1271027077,259.0912,52.8544,17.46,G07036;G07092
1271050471,257.4317,55.3596,18.53,G07036;G07092
1271050704,257.7222,55.3868,17.42,G07036;G07092
1271056707,259.7408,56.3641,17.69,G07036;G07092
1271088706,250.8782,56.6193,17.73,G07036;G07092
1271099724,252.0217,58.8065,18.15,G07036;G07092
1271110216,258.0437,56.4908,17.46,G07036;G07092
1271130540,254.1629,57.3176,17.46,G07036;G07092
1271148241,253.3179,58.3654,17.93,G07036;G07092
1271150292,254.1277,59.0789,18.1,G07036;G07092
1271152496,255.5197,59.6104,18.74,G07092;20SECONDTARGET
1271159228,257.9798,60.4603,17.72,G07036;G07092
1271164777,253.378,59.6296,17.54,G07036;G07092
1271193555,254.9113,61.6831,17.72,G07036;G07092
1400639572,265.9527,52.0628,18.93,G07025;G07092
1400695475,264.3386,53.376,16.98,G07036;G07092
1400696306,264.8335,53.3036,17.53,G07036;G07092
1400705192,269.7681,54.2662,17.66,G07036;G07092
1400707369,269.4972,54.6892,16.91,G07036;G07092
1400711634,267.8006,54.6984,18.12,G07036;G07092
1400711911,267.2085,54.7162,17.93,G07036;G07092
1400723791,266.0989,54.9992,18.15,G07036;G07092
1400766224,262.6526,55.0161,17.97,G07036;G07092
1400774494,263.6834,56.2096,17.23,G07036;G07092
1400787818,267.8245,57.4046,17.77,G07036;G07092
1400803888,263.2582,57.6899,17.97,G07036;G07092
1400813581,269.5878,59.1126,17.64,G07036;G07092
1400823828,260.7921,57.3959,17.93,G07036;G07092
1400835500,263.6108,58.4093,17.73,G07036;G07092
1400857540,266.4744,60.7035,16.48,G07084;G07036;G07092
1400870758,261.6953,60.4247,18.07,G07036;G07092
1400872564,263.6485,60.8675,17.15,G07036;G07092
1400901197,261.3462,62.1607,17.01,G07036;G07092
1400921376,260.8265,62.8544,17.0,G07036;G07092
1551311020,272.0673,54.9736,17.31,G07036;G07092
1551321491,272.8994,54.7023,18.21,G07036;G07092
1551408368,271.4792,58.5315,17.71,G07036;G07092
1551411930,270.3699,59.5439,17.61,G07036;G07092
1551414346,270.9646,59.3472,18.37,G07036;G07092
198456017,261.6808,58.6257,16.01,G07036;G07092
199574211,248.5757,57.1774,14.5,G07036;G07020;G07009;G07092;20SECONDTARGET
199710552,253.6701,57.7047,15.91,G07036;G07092
219789966,264.7573,60.7263,17.07,G07036;G07092
232608294,258.5264,62.647,16.04,G07036;G07092
362079839,263.8969,53.7709,16.64,G07036;G07092
459977299,255.495,61.1886,17.0,G07036;G07092
