ID,ra,dec,Tmag
25167700,326.373559,-21.557907,10.801
141765836,91.624348,-72.51255,8.327
140599284,69.083771,-75.7985,12.124
141121236,80.211302,-77.920364,8.435
177313167,103.849819,-74.048553,12.964
149103941,80.608286,-65.073128,13.43
220408233,70.442391,-59.487282,11.174
150065151,91.408434,-63.135971,14.667
55269981,76.255457,-63.300919,11.871
309790592,80.210057,-63.416328,12.542
177284199,102.419068,-74.557274,8.266
407621011,69.356355,-75.903793,12.328
177307545,102.840964,-72.090294,13.534
220481179,75.962821,-58.835381,13.666
306635397,119.935195,-69.051964,9.233
141608198,88.960415,-73.984619,12.597
150030205,90.983617,-60.666325,9.15
55746237,74.878318,-61.022823,14.098
300741820,115.187399,-66.808861,13.983
177179798,105.085124,-67.445877,14.82
167719618,103.093619,-65.097359,9.171
260267208,93.911945,-57.701599,8.29
55651278,73.899953,-60.861843,12.566
179114381,79.187024,-69.491783,13.452
41231040,91.779477,-66.942375,13.019
150320610,95.61935,-63.697716,9.755
231739493,67.301751,-74.922127,14.477
200385493,77.918603,-45.018089,7.121
150064391,91.425018,-61.748562,7.302
149935360,89.925805,-62.142723,9.623
276834958,272.813702,-78.989647,9.569
65290408,38.377307,-24.236994,9.397
38583597,63.510227,-65.661888,13.627
300157969,108.895882,-68.306374,9.631
150393302,96.975339,-60.583057,9.114
260352702,94.730558,-55.649033,13.706
277102246,83.844919,-66.215034,11.524
309703910,79.73751,-64.057198,11.365
150272447,94.596918,-62.341602,8.774
25132694,61.98432,-70.225571,9.171
55452078,70.682366,-63.703751,10.435
177352893,103.975604,-77.369408,12.642
149444341,84.774915,-63.479965,12.134
41031598,90.417636,-71.165443,10.7
294667331,70.533532,-66.905655,13.541
220395316,68.510534,-59.809883,8.428
282501711,90.01463,2.706566,8.555
19024441,119.625598,15.727907,11.489
271972426,114.012761,-75.469208,12.303
38517036,62.976829,-63.999496,12.696
31011838,76.311491,-71.76577,11.592
220481232,75.958556,-59.003971,10.987
167305895,98.249901,-66.580894,12.957
318686860,111.852091,5.225807,7.308
449050247,67.55117,5.29885,10.477
294927550,72.186405,-70.970901,12.84
278683844,99.237982,-58.015232,9.305
33866201,65.689794,-75.128616,13.75
141867607,93.80724,-73.836388,9.373
300448102,111.763271,-67.954445,9.451
167422188,99.842836,-69.570198,10.913
349766265,112.967051,-61.692223,8.11
350857591,89.997517,-55.219925,9.251
280046713,82.112052,-70.898514,8.078
149599971,86.876651,-62.91584,9.143
177309964,103.452547,-75.703987,13.165
350025862,114.46631,-65.44149,13.823
350520348,86.305858,-59.923805,8.419
31020013,76.276817,-70.198021,9.686
176873028,100.942716,-71.97657,8.313
300137648,108.609075,-71.67717,13.487
278897586,100.938554,-58.94109,12.792
349518888,111.22923,-62.207516,12.621
350332233,83.977564,-55.571537,13.377
309790097,80.124175,-64.008583,10.249
364323767,88.000262,-62.629864,12.613
25064941,60.107762,-65.882378,11.197
141186075,81.329555,-75.692352,6.671
349523641,111.511785,-63.044975,11.268
55659357,74.022275,-64.580963,8.367
38461375,61.312483,-64.502907,11.85
149913598,88.110084,-64.261017,12.646
294099086,107.52948,-57.767582,8.576
349568905,111.381477,-60.729488,13.291
176958231,101.22249,-66.86573,8.154
449050248,67.552309,5.298467,10.278
247463344,85.537397,12.49035,8.862
55663264,74.372233,-61.288216,7.868
140580497,68.255008,-73.916283,12.319
176960818,101.177419,-70.970337,9.109
141029787,79.535976,-76.904076,8.43
300037002,107.885769,-66.019806,15.14
167087044,95.885455,-68.312965,13.223
167207566,97.179475,-68.443512,13.728
300866979,117.264942,-67.339035,9.335
149303766,83.250547,-63.615032,9.317
300142102,108.796525,-66.959137,10.157
306741844,121.019659,-70.567474,10.318
150031443,90.957002,-63.272774,11.465
300513188,112.182467,-66.520935,9.302
150358147,96.180916,-62.417698,9.918
300381526,111.421745,-66.842262,12.798
38709256,66.66558,-65.811356,13.276
177023707,102.406107,-69.985527,8.852
453095489,113.913859,-67.694511,12.595
294272404,108.494735,-58.607784,12.717
276943440,83.668689,-70.939743,8.262
375058335,99.928382,-61.891838,12.173
350740740,88.629388,-55.84388,8.461
167792845,104.152012,-64.576164,8.337
150301109,95.410327,-61.522831,12.515
41358832,92.64392,-68.998558,14.073
350585491,87.146529,-54.845577,14.536
141709296,90.809923,-76.44783,13.163
279091008,102.946476,-59.393925,8.557
391950805,80.127134,-78.043755,11.679
300015056,107.106963,-70.152496,12.906
73232846,190.193042,-43.566536,9.795
150167319,93.515454,-62.63097,13.832
350862394,90.544879,-57.028465,9.563
260356437,94.961064,-59.87355,11.625
279054842,102.402869,-58.260227,12.693
278824412,100.39418,-58.778351,9.397
167527011,100.767589,-60.132164,13.818
38698692,66.288179,-64.080185,7.293
272086159,115.003365,-72.207741,13.404
149930946,89.579262,-63.260494,10.423
150323113,95.813015,-61.100933,12.652
370955883,145.69315,-68.88501,9.66
350742718,88.783066,-59.571095,9.347
55500860,71.781637,-62.729462,9.363
278729421,99.502089,-59.773457,8.227
272085437,115.286331,-73.128716,9.606
140689204,73.028168,-73.36586,13.67
177252842,101.792992,-72.111877,8.728
349304574,109.374351,-64.171356,9.486
25155612,63.217508,-70.249092,10.335
382302446,83.154543,-58.055012,13.161
149628795,87.330943,-63.45509,12.821
268633473,16.223688,-18.124802,11.346
374944622,89.281207,-62.061359,13.63
350581003,86.927029,-55.396709,8.843
260351280,94.716652,-58.589436,11.799
150185586,93.574697,-65.530754,9.992
123480394,115.049296,-42.961296,10.461
271696207,110.158689,-72.594032,9.091
300013489,107.009062,-67.663765,13.183
350824771,89.650469,-55.98653,12.991
44790691,61.641204,-28.539072,9.961
375034833,99.473811,-62.049213,13.047
55450888,70.583231,-61.620762,8.156
375035131,99.647203,-62.560631,13.564
358116669,130.970514,13.623942,9.711
261156988,87.040532,-78.007179,10.792
278897378,101.086569,-58.550716,14.048
141623174,89.241503,-72.265976,10.477
382243958,81.899852,-59.129326,12.975
55746206,74.72876,-61.106792,8.118
214913675,341.94647,-38.222069,6.802
150185581,93.483128,-65.523026,8.341
364394322,116.401678,-62.980682,13.837
32153468,59.748937,-71.599236,9.205
364588832,85.125497,-77.015945,13.344
55295368,76.695409,-61.320057,9.849
471012347,75.489454,-6.94609,9.453
55781680,75.40495,-62.090256,8.684
141124144,80.087844,-73.327347,10.163
300382764,111.169109,-68.431297,10.234
