# TESS Program G05131

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 056 targets observed (2 min: 893, 20 s: 8)
357129208,275.4862,58.9305,9.7,G05131
357526042,270.0443,53.8932,8.68,G05131
359497418,279.1688,57.056,9.59,G05131;G05003
359551900,279.3079,58.5399,8.69,G05131
359555709,279.6335,55.2457,7.18,G05131
359584313,279.7272,59.2954,9.06,G05131
359675280,280.8066,56.8961,9.14,G05131
359675817,280.8243,57.8179,7.11,G05131
359677968,280.9397,57.9485,7.01,G05131;G05003
362217377,275.2612,53.5944,9.85,G05131
376977306,284.2317,58.7982,11.56,G05131
376980250,284.3875,54.8572,8.89,G05131
376995032,284.4905,59.1427,10.9,G05131
376996854,284.698,57.7864,8.87,G05071;G05131
377054253,284.8237,59.4793,9.0,G05131
377098752,285.2016,57.8133,7.65,G05131
377105443,285.2449,58.6632,10.11,G05131
377193045,285.9211,56.9285,10.57,G05131
377196660,286.175,55.3697,8.86,G05131
377254737,286.4057,58.4899,11.73,G05131
377295633,286.8263,56.5959,8.17,G05131
383622010,270.6892,54.8893,10.38,G05131
383623741,270.6632,58.3891,10.67,G05131
383646999,278.7369,63.3905,9.18,G05131
383676421,279.2375,62.6643,11.01,G05131
390018486,277.5418,56.7225,11.05,G05131
390022843,277.7095,58.5595,9.46,G05131
390022875,277.8048,58.6233,10.89,G05131
392571044,280.6238,57.5548,9.82,G05131
47578424,278.4384,53.2608,10.14,G05131
47727051,279.3635,53.1863,8.16,G05131
47874734,280.4771,52.5511,10.61,G05131
47876421,280.613,52.5875,9.05,G05131
48087951,282.1402,53.8545,11.12,G05131
48194330,282.8953,52.9766,4.79,G05131
219088671,268.6108,67.7474,8.81,G05131
219095076,269.3706,69.1564,10.93,G05131
219096791,269.8292,69.7464,11.32,G05131
219098707,270.1298,67.0752,9.17,G05131
219099903,270.1228,70.3151,11.04,G05131
219101358,270.362,69.1895,10.84,G05131
219101431,270.1557,69.0027,10.23,G05131
219102122,270.253,67.21,10.72,G05131
219104063,270.7279,69.6546,8.88,G05131
219114132,272.1644,70.8203,11.18,G05131
229581386,270.24,72.1388,10.15,G05131
229588267,271.7207,74.8943,11.42,G05131
229596329,273.1286,75.1764,8.49,G05071;G05131
229596524,273.3491,74.5635,8.96,G05131
229597113,273.1737,72.9475,9.88,G05131
229597274,273.4502,72.5215,9.28,G05131
229598289,273.8425,73.8869,10.17,G05131
229606846,274.2487,73.9665,11.36,G05131
229613465,277.4374,76.3745,10.02,G05131
229617303,278.336,74.5836,11.19,G05131
229617452,278.4781,74.9598,10.06,G05131
229639079,278.9356,74.2437,10.55,G05131
229639831,278.9922,72.4308,10.05,G05131
229644321,279.6832,72.6332,10.93,G05131
229644935,280.0012,72.5628,11.52,G05131
229700266,277.0954,69.1551,7.91,G05131
229700601,277.084,70.0119,9.65,G05131
229700707,277.2712,70.2919,9.73,G05131
229700780,277.2991,70.4539,9.74,G05131
229701055,277.0133,71.2729,11.66,G05131
229706224,278.0612,71.6209,9.49,G05131
229706335,277.9353,71.3394,9.22,G05131
229707060,278.0367,69.4493,10.25,G05131
229707441,278.1256,68.6146,7.09,G05131
229710150,278.4073,69.064,7.85,G05131
229711679,278.5732,70.9251,11.16,G05131
