# TESS Program G022203

Title: Investigating Stellar Activities Using Simultaneous TESS Photometry And High Cadence High Precision Radial Velocity

PI: Ge, Jian - University Of Florida

Type: LARGE

Summary: Stellar noise is the greatest factor limiting the RV detection of low-mass planets. Here we propose to make high-cadence, high-precision RV observations of 93 nearby FGK stars simultaneous with TESS observations between July 2019 and June 2020. We will use the TOU spectrograph (demonstrated <1m/s), to which the PI has full, dedicated access. These long-baseline, simultaneous time-series will be a unique and unprecedented dataset for us to develop and refine methods to model the stellar RV signals that currently hamper planet detection. This data and analysis toolkit---which will be made available publicly---will be crucial to ensure that continuing improvements of RV instruments result in confirmation of the smallest TESS planets and detections of lower-mass planets than current limit.


# Sector 014 targets observed (11)
27525457,217.4046,41.7947,5.74,G022092;G022187;G022203;G022032;G022103
445070560,197.9632,27.8831,3.71,G022133;G022203;G022040;G022032;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
135171750,214.136,20.1213,5.95,G022203;G022103
309765388,224.097,49.6272,5.15,G022203;G022133;G022032;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
274242146,250.6171,49.9358,5.95,G022203;G022032
219880402,261.2429,67.3069,5.54,G022092;G022187;G022203;G022032
233121747,273.4789,64.3975,4.56,G022133;G022203;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
259237827,293.0996,69.6514,3.94,G022092;G022133;G022187;G022203;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 024 targets observed (14)
157364190,238.1723,42.4551,4.03,G022133;G022203;G022103;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
20204058,226.646,36.4563,5.86,G022203;G022032;G022103
198304072,222.5668,23.912,5.33,G022038;G022203;G022103;G022133;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
459978312,255.5653,64.6009,5.29,G022203
274242146,250.6171,49.9358,5.95,G022203;G022032
219880402,261.2429,67.3069,5.54,G022092;G022187;G022203;G022032
233121747,273.4789,64.3975,4.56,G022133;G022203;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
259237827,293.0997,69.6514,3.94,G022092;G022133;G022187;G022203;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
