# TESS Program G022208

Title: Short Timescale Stellar Variability: Searching For Evolving Or Decaying Eclipsing Binaries And Other Exotic Processes

PI: Zakamska, Nadia - Johns Hopkins University

Type: SMALL

Summary: Compact binaries must have undergone dramatic orbital shrinkage, possibly first via the Kozai mechanism and tidal interaction, and then during the common envelope phase. Detecting period variations in eclipsing binaries is key to identifying candidates undergoing these processes. Here we propose for TESS 2-min cadences for ~1100 short-period (<0.5 day) eclipsing binaries identified from WISE. We will combine WISE and TESS light curves to search for period changes over ~10 years of observations, to measure orbital evolution in close binaries, and to discover binaries with decaying periods possibly on their way to the common envelope phase. Measuring orbital changes in this large sample will allow us to probe key stages of binary evolution.


# Sector 014 targets observed (47)
470121167,329.637,80.3378,12.44,G022153;G022208
256640207,327.5462,71.4439,9.28,G022062;G022208
229461186,295.1026,60.9203,10.85,G022062;G022208
229479753,295.6351,64.6951,8.36,G022208
229767960,281.9416,68.3153,11.66,G022208
229910746,287.3498,61.8379,10.08,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
243286221,288.5712,58.2069,11.06,G022208
243354243,290.2621,58.6723,10.46,G022208
269595425,300.6415,69.8668,9.7,G022208
269700358,301.952,68.0647,8.29,G022208
359981627,300.2726,66.1612,9.83,G022208
362220017,286.0264,78.7527,8.3,G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
199610813,249.0069,59.7447,12.52,G022141;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
272781956,238.24,68.725,9.4,G022062;G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
233720276,276.3578,62.9403,8.49,G022208
237117923,269.8465,54.2814,10.02,G022208
332474962,265.3159,54.5661,11.2,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357099320,275.0042,55.7476,9.03,G022208
359496762,279.1176,56.026,11.98,G022198;G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359679558,281.0692,55.259,8.82,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7935,56.4175,11.54,G022062;G022208

# Sector 019 targets observed (40)
428534573,56.2552,49.6166,9.04,G022062;G022208
156414921,71.1377,39.8753,7.82,G022062;G022103;G022208
396737942,97.3915,71.0766,12.85,G022141;G022071;G022208
275911914,54.3111,69.1798,11.53,G022252;G022039;G022208;G022198
354922610,39.3807,71.3046,9.85,G022062;G022208
418244848,50.3604,73.4356,9.08,G022003;G022208
339374052,85.7029,60.8587,14.51,G022230;G022116;G022071;G022208
279923419,38.9931,80.4957,13.84,G022141;G022071;G022254;G022208
402847504,17.6508,80.3472,9.38,G022208
468293391,7.1162,78.9619,10.03,G022208
362220017,286.0264,78.7527,8.3,G022208
470121167,329.637,80.3378,12.44,G022153;G022208
229479753,295.6351,64.6951,8.36,G022208
229767960,281.9416,68.3153,11.66,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
269595425,300.6415,69.8668,9.7,G022208
269700358,301.952,68.0647,8.29,G022208
359981627,300.2726,66.1612,9.83,G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
272781956,238.24,68.725,9.4,G022062;G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
199610813,249.0069,59.7447,12.52,G022141;G022208
224602141,255.1883,56.3072,11.44,G022198;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
233720276,276.3578,62.9403,8.49,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
243286221,288.5712,58.2069,11.06,G022208
243354243,290.2621,58.6723,10.46,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357099320,275.0042,55.7476,9.03,G022208
359496762,279.1176,56.026,11.98,G022198;G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359679558,281.0692,55.259,8.82,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7935,56.4175,11.54,G022062;G022208
406929271,287.5273,58.6304,11.93,G022208;G022198

# Sector 020 targets observed (39)
240122720,101.1431,33.749,13.13,G022126;G022071;G022254;G022208
396737942,97.3915,71.0766,12.85,G022141;G022071;G022208
445069009,131.0459,54.3964,12.47,G022039;G022208
289969374,118.6272,78.1121,10.28,G022208
142785398,154.5051,75.2244,12.96,G022141;G022208
155894704,176.3716,72.2494,10.01,G022062;G022208
155657581,206.3921,79.3971,11.19,G022039;G022240;G022238;G022208
159346490,236.2351,79.5174,10.74,G022208
229767960,281.9416,68.3153,11.66,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
269595425,300.6415,69.8668,9.7,G022208
362220017,286.0264,78.7527,8.3,G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
270491267,232.36,70.1983,12.95,G022141;G022057;G022158;G022208
272781956,238.24,68.725,9.4,G022062;G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
199610813,249.0069,59.7447,12.52,G022141;G022208
224602141,255.1883,56.3072,11.44,G022198;G022208
237117923,269.8465,54.2814,10.02,G022208
284890361,260.4364,54.5592,11.66,G022232;G022062;G022208
332474962,265.3159,54.5661,11.2,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
229461186,295.1026,60.9203,10.85,G022062;G022208
229479753,295.6351,64.6951,8.36,G022208
233720276,276.3578,62.9403,8.49,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
243286221,288.5712,58.2069,11.06,G022208
243352373,290.2687,56.3285,10.23,G022062;G022208
243354243,290.2621,58.6723,10.46,G022208
359496762,279.1176,56.026,11.98,G022198;G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359981627,300.2726,66.1612,9.83,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7935,56.4175,11.54,G022062;G022208
406929271,287.5273,58.6304,11.93,G022208;G022198

# Sector 021 targets observed (42)
3645653,127.1538,25.3342,14.34,G022230;G022116;G022071;G022208
138578906,175.7594,60.5769,9.1,G022062;G022208
202295392,175.1929,51.9981,9.46,G022173;G022204;G022208
55753802,181.5822,57.1765,9.69,G022062;G022208
138543573,158.9821,63.5923,7.67,G022208
142785398,154.5051,75.2244,12.96,G022141;G022208
155894704,176.3716,72.2494,10.01,G022062;G022208
147625755,184.1521,64.8576,11.02,G022062;G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
270491267,232.36,70.1983,12.95,G022141;G022057;G022158;G022208
155657581,206.3921,79.3971,11.19,G022039;G022240;G022238;G022208
159346490,236.2351,79.5174,10.74,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
362220017,286.0264,78.7527,8.3,G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
198313291,233.6853,62.2791,10.09,G022208
199610813,249.0069,59.7447,12.52,G022141;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
272781956,238.24,68.725,9.4,G022062;G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
233720276,276.3578,62.9403,8.49,G022208
237117923,269.8465,54.2814,10.02,G022208
332474962,265.3159,54.5661,11.2,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357099320,275.0042,55.7476,9.03,G022208
359496762,279.1177,56.026,11.98,G022198;G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7936,56.4175,11.54,G022062;G022208
229461186,295.1026,60.9203,10.85,G022062;G022208
229479753,295.6351,64.6951,8.36,G022208
229767960,281.9416,68.3153,11.66,G022208
229910746,287.3498,61.8379,10.08,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
243286221,288.5712,58.2069,11.06,G022208
243354243,290.2621,58.6723,10.46,G022208
269595425,300.6415,69.8668,9.7,G022208
269700358,301.952,68.0647,8.29,G022208
359981627,300.2726,66.1612,9.83,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
406929271,287.5273,58.6304,11.93,G022208;G022198
