# TESS Program G05036

Title: Massive Star Asteroseismology: TESS Light Curves That Surpass Kepler

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective boundary mixing. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star's interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 056 targets observed (2 min: 229, 20 s: 0)
434430746,344.9286,62.7773,8.5,G05036
434539805,345.2997,62.9419,7.7,G05036
434723918,345.7561,63.6981,7.6,G05036;G05003
434893323,346.0092,63.3969,7.23,G05036;G05139;G05151;G05003
258461221,300.0167,68.4369,8.06,G05036
269696438,301.6071,68.291,8.72,G05036;G05003
321818578,322.1651,70.5607,3.33,G05036;G05139
360020620,300.3917,70.4546,8.2,G05036;G05143
372342873,331.8102,70.6942,6.93,G05036
387813185,315.404,68.1633,6.77,G05036;G05139;G05151
402894425,302.737,68.2722,6.71,G05036
233387809,301.717,57.3732,9.36,G05036
236872887,302.914,63.5274,7.7,G05036
236996722,305.7264,64.1829,9.07,G05036
256662953,300.7481,65.8615,9.5,G05036
267767305,312.1365,53.9061,7.63,G05116;G05036;G05139
268109716,312.7916,55.4887,7.47,G05116;G05139;G05036
269598007,301.0067,66.0409,9.25,G05036
276653683,308.639,57.9279,8.01,G05036
277502552,310.807,57.114,6.04,G05036
305850608,317.9509,59.9866,6.1,G05036
321335373,313.4674,56.363,7.44,G05036
336340717,314.1699,56.9266,7.55,G05036
344542087,317.6687,57.7063,10.69,G05036
352556540,306.3867,54.6842,7.12,G05116;G05139;G05036
352762746,308.5906,64.6446,10.0,G05036;G05003
365048183,298.3225,57.5235,5.26,G05036
365098683,305.6537,55.2118,10.99,G05036
365277613,306.2312,54.6956,10.55,G05036
375432716,315.9702,55.2303,6.55,G05036
417566526,317.7402,60.2212,9.03,G05036
429221797,313.1803,56.585,7.64,G05036
429412649,314.0709,56.8875,6.4,G05036
467219052,306.7373,58.5284,9.27,G05036
229452839,294.401,64.0166,8.13,G05036
