# TESS Program G05121

Title: Modeling Complex Flares With TESS 20-Second Data

PI: Tovar Mendoza, Guadalupe - University Of Washington

Type: SMALL

Summary: Stellar variability is a limiting factor for exoplanet characterization, especially around active M stars. Recent work has shown that given high enough resolution, flares show more signs of complexity. Many have modeled classical flares but less work has been done to model the morphology of complex flares. TESS 20-second data provides us with better resolution of short time scale variability which is smoothed out in the 2-minute data. We propose to use a sample of 5635 TESS 20-second light curves, combined with new stellar flare and starspot analysis methods, to model the morphology of complex flare events on active M stars. We will deliver 1. New publicly available tools to decompose complex flares and 2. The largest statistical analysis of complex flares with TESS 20-second data.


# Sector 056 targets observed (2 min: 400, 20 s: 32)
411515858,5.8948,20.2411,9.7,G05121
411524787,6.1409,22.8854,9.42,G05121
411527645,6.4001,22.926,9.96,G05121
411534465,7.0724,19.6522,9.88,G05121
411551689,7.3482,18.9394,9.29,G05121
411553901,7.4738,18.7143,10.0,G05121
429034419,10.8889,17.3551,9.12,G05121
434207400,9.5956,21.8602,9.44,G05121
434219723,10.6255,20.0624,8.88,G05112;G05121;20SECONDTARGET
434221364,10.7393,22.6598,9.78,G05121
435864557,12.1302,22.6549,9.84,G05121
435865614,12.3024,18.0652,9.95,G05121
435867870,12.4019,20.684,9.82,G05121
435876741,13.0015,20.5822,9.75,G05121
113655022,24.8303,22.9276,9.5,G05121
113709668,25.4509,22.8715,9.31,G05121
150987199,24.4146,18.5921,9.19,G05121
15551280,15.1955,23.9485,9.89,G05106;G05121
15614454,16.389,24.0887,9.98,G05121
16920062,19.3055,27.0345,9.56,G05121
16956183,19.4585,28.6688,9.64,G05152;G05121
16957494,19.6038,26.7465,8.56,G05121
16987912,19.8607,25.9316,9.72,G05121
16995147,20.1074,26.3809,9.94,G05121
17003109,20.3748,24.3306,9.11,G05121
18112820,21.1657,25.7519,9.95,G05121
18152680,21.8398,28.0968,9.36,G05121
18250306,23.1556,29.6519,9.52,G05121
18251617,23.2408,24.8813,9.7,G05121
18251910,23.3293,23.9758,7.03,G05144;G05121;20SECONDTARGET
18252719,23.3088,26.8006,8.41,G05121
18280468,23.6353,28.5597,9.89,G05121
243153812,15.7744,18.0881,9.16,G05121
243154339,15.8135,20.0982,9.63,G05121;G05143
243223934,17.3237,22.6861,9.99,G05121
243229296,17.8513,18.6758,9.31,G05121
353777443,24.2287,25.3071,9.95,G05121
357528474,19.1797,19.7768,9.65,G05121
381272026,22.094,19.6167,9.89,G05121
381343573,22.8102,17.947,8.7,G05121
408263470,18.3156,17.0128,9.72,G05121
408290683,18.4954,16.4942,8.66,G05121
411629080,20.5399,19.0867,9.78,G05121
411629175,20.4577,18.7079,9.56,G05121
411632695,21.0532,22.978,9.81,G05121
427734148,20.9709,28.9811,9.06,G05121
456886165,21.747,23.5416,8.7,G05121
456907244,26.4047,23.0584,9.06,G05121
456933791,27.0189,21.2054,9.96,G05152;G05121
240682712,9.5629,52.3312,8.89,G05123;G05121;20SECONDTARGET
252077943,354.1122,55.4948,9.8,G05121
271751654,355.035,60.6861,9.48,G05109;G05121
327000746,2.8417,58.6177,9.45,G05121
347299560,1.4604,56.5005,8.18,G05121
427162854,351.1264,57.8525,8.09,G05121
444315556,352.8329,59.7477,8.25,G05121
153943235,341.0834,43.8512,9.76,G05121
153982753,341.3468,45.7854,9.59,G05121
153984162,341.2731,44.8143,9.65,G05121
154101678,341.701,44.3311,7.73,G05126;G05123;G05144;G05145;G05152;G05121;20SECONDTARGET
154304784,342.4777,46.3313,9.79,G05121
154350735,342.5519,45.9842,9.61,G05121
154429221,342.9558,43.0057,9.84,G05121
154556308,343.3671,45.8068,9.8,G05121
154579467,343.5024,42.8708,9.97,G05121
154706624,344.1522,42.812,9.88,G05121
154932603,345.0144,43.9498,9.09,G05106;G05121
155117186,345.651,46.7708,9.97,G05121
173338980,347.0388,47.3813,9.55,G05121
173467136,348.155,46.7482,9.66,G05121
173467524,348.1364,46.4382,9.98,G05121
173522406,348.2409,46.6307,9.16,G05121
173766003,349.5778,46.2901,9.14,G05121
173856518,350.2788,44.3374,9.1,G05121
173921417,350.3896,47.8042,9.81,G05121
200291601,338.1533,44.0054,9.72,G05121
299205810,340.1569,42.1612,9.59,G05121
299207789,340.2104,43.6051,9.37,G05121
455699655,342.7134,44.4534,9.34,G05121
100860769,347.9919,35.9356,8.79,G05121
125253491,357.8448,35.0522,9.68,G05121
125299481,358.5736,34.5361,9.9,G05121
125490540,354.9771,38.1031,8.99,G05121
127336777,349.4984,41.0613,9.36,G05121
127338744,349.3498,38.2089,9.25,G05121
174195240,351.9799,42.1225,9.11,G05121
174270136,352.233,42.5933,9.98,G05121
176974026,355.4802,44.1675,8.84,G05087;G05121;20SECONDTARGET
177642127,359.6662,42.4094,9.9,G05121
194302749,2.0739,36.1563,9.89,G05121
194304288,2.1054,38.5501,9.79,G05121
