# TESS Program G05122

Title: Hunting For White-Dwarf Merger Candidates With High-Cadence Photometry

PI: Caiazzo, Ilaria - California Institute Of Technology

Type: SMALL

Summary: We propose to search for rapid photometric variability in a sample of high-mass white dwarfs to look for rotating, highly magnetized objects that can be characterized with high confidence as white dwarf merger remnants. Finding a population of bonafide white dwarf merger remnants can help us understand the properties of merger remnants and their evolution, as well as understand the origin of magnetic fields in white dwarfs. Additionally, finding the merger rate of white dwarfs below the Chandrasekhar mass can provide important constraints on type Ia supernova rates and on the rate of close double degenerate binaries that will be detected with LISA, as well as help characterize the contribution to the LISA-sensitivity curve by the low-signal-to-noise double degenerates background.


# Sector 056 targets observed (2 min: 72, 20 s: 19)
836253630,138.2915,-12.5949,18.42,G05084;G05122
836534997,139.9335,-8.6636,18.22,G05084;G05122
841689291,149.3647,-8.951,18.91,G05122
875975827,144.6233,-19.3008,18.84,G05122
876090100,147.95,-17.0791,18.77,G05122
876105337,144.3732,-17.3568,18.82,G05122
876147893,147.9611,-15.2869,18.8,G05122
876195049,144.9815,-13.4766,18.39,G05084;G05122
876266265,140.8688,-14.051,18.93,G05122
876289222,142.3268,-11.0643,16.94,G05084;G05115;G05122;20SECONDTARGET
876302439,143.9898,-11.4416,18.71,G05084;G05122
876338318,143.9622,-8.2686,17.99,G05084;G05122;20SECONDTARGET
841451622,159.8275,-20.2374,18.26,G05084;G05122
875816681,149.8885,-18.4739,18.18,G05084;G05122
902610068,162.091,-14.7494,18.58,G05122
471014064,161.5405,-5.3043,17.34,G05122;20SECONDTARGET
902686932,160.5463,-11.7109,18.74,G05122
841968642,150.3793,-3.4853,17.62,G05084;G05115;G05122;20SECONDTARGET
842163385,146.2448,4.0135,18.39,G05084;G05122
842166485,149.9453,3.3603,18.97,G05122
823284820,127.4467,-34.2741,18.43,G05084;G05122
823295004,127.1933,-34.2776,18.44,G05122
826768181,135.6337,-35.6789,18.54,G05122
827293400,130.3248,-36.005,18.89,G05122
827603084,133.8437,-34.0683,18.93,G05122
286936972,150.5815,-37.2314,16.14,G05084;G05115;G05122;20SECONDTARGET
867892956,150.3524,-45.4751,18.96,G05122
869621415,145.9696,-43.1427,18.88,G05122
870480733,152.9227,-40.9348,17.56,G05122;20SECONDTARGET
872036502,144.7603,-40.2101,18.59,G05122
872206439,140.0339,-40.0666,16.83,G05122;20SECONDTARGET
872229051,140.3637,-39.3868,18.45,G05084;G05122
872268479,142.7324,-39.414,18.75,G05122
872362262,140.9136,-38.3404,17.74,G05122;20SECONDTARGET
873092816,143.7891,-36.1881,18.76,G05122
874019551,156.2997,-33.3007,18.97,G05122
874140717,151.0511,-33.9934,17.08,G05084;G05122;20SECONDTARGET
874385247,149.1824,-31.0333,17.86,G05122;20SECONDTARGET
874472035,148.7629,-28.8452,18.21,G05084;G05122
874474832,147.7401,-28.6875,17.47,G05084;G05122;20SECONDTARGET
874582338,156.8962,-29.1028,18.66,G05122
875443376,147.5381,-25.3467,17.81,G05084;G05122;20SECONDTARGET
875444865,147.875,-24.956,17.06,G05115;G05084;G05122;20SECONDTARGET
875453963,146.4528,-24.6197,18.84,G05122
875693825,150.7513,-22.7271,18.85,G05122
38454876,138.1167,-26.7013,16.52,G05084;G05115;G05122;20SECONDTARGET
828123903,139.2659,-29.2224,18.18,G05122
828240529,137.3633,-28.054,18.63,G05122
831428566,138.0834,-21.8871,18.5,G05084;G05122
831472988,139.2403,-19.7737,17.82,G05122;20SECONDTARGET
831485653,139.3846,-18.9805,17.62,G05084;G05122;20SECONDTARGET
812442124,131.2551,-54.1377,18.93,G05122
866261423,147.3669,-51.8332,17.82,G05122;20SECONDTARGET
768837499,116.4194,-44.9427,18.52,G05122
768843649,115.6307,-45.0948,18.58,G05122
813599593,125.8549,-51.1315,18.16,G05084;G05122
819979238,129.3113,-42.6543,18.96,G05122
821582890,122.447,-41.8578,18.34,G05122
822112504,125.8014,-38.4898,17.82,G05122;20SECONDTARGET
766180021,103.4794,-56.4129,17.02,G05084;G05122;G05081;20SECONDTARGET
766896522,111.4453,-52.2449,17.47,G05084;G05122;20SECONDTARGET
767031087,102.4798,-54.7092,18.8,G05122
767158947,105.057,-53.4903,18.98,G05122
767558099,113.0069,-46.0689,17.98,G05115;G05084;G05122;20SECONDTARGET
768294842,117.0268,-48.5346,18.87,G05122
765722352,113.2734,-61.2034,18.61,G05122
806039930,130.0645,-66.4036,18.02,G05122
806202717,129.3902,-64.1868,18.29,G05084;G05122
806687967,123.5844,-59.169,18.7,G05122
808261548,128.0086,-60.8726,18.92,G05122
735599397,97.4252,-71.2717,18.49,G05084;G05122
736410535,95.2776,-67.3419,18.53,G05122
736592934,98.2744,-67.0089,18.7,G05122
765238850,109.4448,-67.214,18.57,G05122
765572219,112.007,-62.9151,18.62,G05122
765691203,112.2452,-62.4219,18.35,G05122
805180537,122.823,-73.0879,18.59,G05122
805253224,124.7843,-70.9866,18.91,G05122
737056520,94.216,-64.9588,18.77,G05122
737264926,95.1341,-62.593,18.56,G05122
737266925,96.3636,-62.0634,18.3,G05084;G05122
766027393,102.3014,-61.595,17.01,G05084;G05122;G05081;20SECONDTARGET
766089004,103.1976,-59.6779,18.64,G05122
684841815,65.0178,-67.684,17.85,G05084;G05122;20SECONDTARGET
650236602,54.4181,-72.0336,17.84,G05084;G05122;20SECONDTARGET
724148777,81.4273,-79.6779,18.84,G05122
726293043,87.5717,-70.7598,17.07,G05122;G05081;20SECONDTARGET
728301418,84.4327,-69.0979,19.0,G05122

# Sector 063 targets observed (2 min: 82, 20 s: 23)
471013761,166.9703,-16.1182,16.9,G05122;20SECONDTARGET
901536107,168.3452,-28.9361,18.78,G05122
901651473,171.3274,-23.7271,18.91,G05122
902029738,163.4584,-20.5615,18.57,G05122
902117742,162.7762,-18.8854,18.0,G05084;G05122;20SECONDTARGET
942777077,166.1834,-28.4375,16.66,G05115;G05084;G05122;20SECONDTARGET
942934657,161.7818,-24.6164,17.54,G05084;G05122;20SECONDTARGET
901623123,173.7586,-24.5053,17.69,G05084;G05122;20SECONDTARGET
901838840,176.8765,-21.2594,18.85,G05122
951583798,182.5311,-22.8126,18.72,G05122
152773823,180.5307,-10.0784,15.73,G05084;G05115;G05122;20SECONDTARGET
901882300,176.9693,-18.1992,18.61,G05122
952182249,187.9569,-17.5751,18.83,G05122
952194526,182.8623,-20.2156,18.92,G05122
902192708,169.1947,-16.0593,18.64,G05122
902202714,172.2511,-16.0157,18.86,G05122
902658174,167.0498,-10.5658,18.18,G05084;G05122
902796420,169.5359,-4.5144,18.8,G05122
286936972,150.5815,-37.2314,16.14,G05084;G05115;G05122;20SECONDTARGET
864323107,153.9731,-49.2092,18.95,G05122
865372351,158.9996,-41.5461,18.4,G05122
867892956,150.3524,-45.4751,18.96,G05122
869621415,145.9696,-43.1427,18.88,G05122
869723769,154.6388,-46.4215,18.86,G05122
869884392,155.2984,-45.3556,18.39,G05122
870480733,152.9227,-40.9348,17.56,G05122;20SECONDTARGET
872036502,144.7603,-40.2101,18.59,G05122
938046656,163.1969,-46.7161,18.08,G05084;G05122
939504715,172.0369,-50.2125,18.91,G05122
939671490,172.8979,-47.8551,17.42,G05084;G05122;20SECONDTARGET
939881373,169.2483,-47.308,17.56,G05084;G05122;20SECONDTARGET
152059449,169.5493,-39.4514,17.45,G05084;G05122;20SECONDTARGET
454013177,175.2944,-37.4899,16.57,G05084;G05115;G05122;20SECONDTARGET
901261455,171.4104,-31.2129,18.62,G05122
940922335,172.3913,-40.5365,18.48,G05084;G05122
940990696,174.8272,-39.3154,18.92,G05122
941634295,165.5739,-40.0106,18.43,G05084;G05122
942005931,169.0452,-41.0935,18.36,G05084;G05122
942005932,169.0456,-41.0943,18.48,G05084;G05122
942189510,172.6096,-36.7213,17.48,G05084;G05122;20SECONDTARGET
873752936,158.5094,-36.197,18.78,G05122
873867165,154.87,-35.7853,17.75,G05084;G05122;20SECONDTARGET
874019551,156.2997,-33.3007,18.97,G05122
874140717,151.0511,-33.9934,17.08,G05084;G05122;20SECONDTARGET
874582338,156.8962,-29.1028,18.66,G05122
941945158,161.3521,-38.446,18.55,G05122
942357395,164.9329,-35.8604,18.64,G05122
847708908,157.9486,-65.0392,18.07,G05122
855263438,148.0158,-57.28,18.93,G05122
860539382,158.3928,-57.3769,18.45,G05122
862154729,154.7976,-54.068,18.93,G05122
866261423,147.3669,-51.8332,17.82,G05122;20SECONDTARGET
765722352,113.2734,-61.2034,18.61,G05122
806687967,123.5844,-59.169,18.7,G05122
808261548,128.0086,-60.8726,18.92,G05122
813599593,125.8549,-51.1315,18.16,G05084;G05122
805253224,124.7843,-70.9866,18.91,G05122
805403145,138.745,-68.6852,18.92,G05122
806039930,130.0645,-66.4036,18.02,G05122
806202717,129.3902,-64.1868,18.29,G05084;G05122
844743525,151.7829,-68.9091,16.72,G05122;G05081;20SECONDTARGET
844877437,146.2539,-68.8844,17.79,G05084;G05122;20SECONDTARGET
845647136,148.3701,-67.2466,18.1,G05122
846292175,143.3279,-66.765,18.86,G05122
726293043,87.5717,-70.7598,17.07,G05122;G05081;20SECONDTARGET
735252697,95.5265,-74.5372,18.26,G05084;G05122
735599397,97.4252,-71.2717,18.49,G05084;G05122
765238850,109.4448,-67.214,18.57,G05122
805180537,122.823,-73.0879,18.59,G05122
736592934,98.2744,-67.0089,18.7,G05122
736743909,92.4917,-66.6926,18.08,G05122
737056520,94.216,-64.9588,18.77,G05122
737264926,95.1341,-62.593,18.56,G05122
737266925,96.3636,-62.0634,18.3,G05084;G05122
765572219,112.007,-62.9151,18.62,G05122
765691203,112.2452,-62.4219,18.35,G05122
766027393,102.3014,-61.595,17.01,G05084;G05122;G05081;20SECONDTARGET
766089004,103.1976,-59.6779,18.64,G05122
766180021,103.4794,-56.4129,17.02,G05084;G05122;G05081;20SECONDTARGET
650236602,54.4181,-72.0336,17.84,G05084;G05122;20SECONDTARGET
684827308,60.7417,-69.6135,18.47,G05084;G05122
684841815,65.0178,-67.684,17.85,G05084;G05122;20SECONDTARGET

# Sector 064 targets observed (2 min: 82, 20 s: 20)
170583840,185.4289,-32.9897,16.23,G05084;G05115;G05122;20SECONDTARGET
951663708,189.6346,-27.3439,16.98,G05115;G05084;G05122;20SECONDTARGET
997341072,195.9645,-36.7551,18.56,G05122
998530612,188.9562,-38.0342,18.77,G05122
999074645,192.4715,-29.3731,18.42,G05084;G05122
1053778915,210.139,-39.3001,18.53,G05122
1054546508,209.2507,-36.0731,18.66,G05122
997235627,197.6922,-39.5117,18.73,G05122
998839694,199.3161,-34.1617,18.26,G05084;G05122
1055791233,209.5754,-28.1795,17.61,G05115;G05084;G05122;20SECONDTARGET
1055853482,208.2672,-25.6273,18.61,G05122
1055934592,204.2304,-26.9244,18.14,G05084;G05122
1056020813,203.6276,-25.0862,18.72,G05122
1056023515,204.8018,-24.8015,17.91,G05115;G05084;G05122;20SECONDTARGET
1057191695,211.6938,-20.8755,18.45,G05084;G05122
951691209,191.9422,-25.3391,17.99,G05084;G05122;20SECONDTARGET
951708188,194.7356,-25.6442,18.05,G05084;G05122
951904350,197.9618,-22.4431,18.98,G05122
999166090,197.0782,-25.2685,18.48,G05084;G05122
938658593,177.4325,-50.7638,18.38,G05122
938724941,174.8495,-51.6283,18.31,G05122
939504715,172.0369,-50.2125,18.91,G05122
939671490,172.8979,-47.8551,17.42,G05084;G05122;20SECONDTARGET
939881373,169.2483,-47.308,17.56,G05084;G05122;20SECONDTARGET
994727320,183.8407,-52.6128,18.8,G05122
919054006,176.0932,-61.9039,18.3,G05122
929031270,178.5648,-58.4826,18.91,G05122
963138030,194.7411,-66.0512,18.75,G05122
963584116,197.1863,-65.9278,18.89,G05122
969011786,190.1543,-64.6328,17.27,G05122;20SECONDTARGET
977166996,190.9111,-63.0863,18.42,G05122
992192208,184.7605,-53.7458,17.55,G05122;20SECONDTARGET
1048485384,203.3947,-43.9622,18.25,G05122
1050418416,207.5245,-50.4263,17.99,G05122;20SECONDTARGET
1052902710,205.1368,-46.0484,17.89,G05122;20SECONDTARGET
160522890,189.7018,-49.8005,13.83,G05084;G05115;G05081;G05122;20SECONDTARGET
243492415,205.9484,-44.4844,16.52,G05122;20SECONDTARGET
993923173,194.3643,-50.4618,18.65,G05122
994281695,196.5564,-47.3749,18.95,G05122
996023912,183.029,-47.1788,18.78,G05122
997774415,186.7908,-42.749,18.75,G05122
997837119,189.0099,-40.6891,18.28,G05084;G05122
906176361,160.3356,-69.8216,18.79,G05122
906675551,179.317,-69.2785,18.76,G05122
907983403,179.074,-67.8418,17.85,G05122;20SECONDTARGET
955939164,181.9594,-74.4241,18.89,G05122
847708908,157.9486,-65.0392,18.07,G05122
855263438,148.0158,-57.28,18.93,G05122
860539382,158.3928,-57.3769,18.45,G05122
862154729,154.7976,-54.068,18.93,G05122
805403145,138.745,-68.6852,18.92,G05122
806039930,130.0645,-66.4036,18.02,G05122
806202717,129.3902,-64.1868,18.29,G05084;G05122
806687967,123.5844,-59.169,18.7,G05122
808261548,128.0086,-60.8726,18.92,G05122
845647136,148.3701,-67.2466,18.1,G05122
846292175,143.3279,-66.765,18.86,G05122
764468822,113.7672,-79.7364,16.95,G05084;G05115;G05122;20SECONDTARGET
804812400,133.0267,-77.6844,17.7,G05084;G05122;20SECONDTARGET
805180537,122.823,-73.0879,18.59,G05122
724148777,81.4273,-79.6779,18.84,G05122
726293043,87.5717,-70.7598,17.07,G05122;G05081;20SECONDTARGET
728301418,84.4327,-69.0979,19.0,G05122
735252697,95.5265,-74.5372,18.26,G05084;G05122
735599397,97.4252,-71.2717,18.49,G05084;G05122
736410535,95.2776,-67.3419,18.53,G05122
736592934,98.2744,-67.0089,18.7,G05122
736743909,92.4917,-66.6926,18.08,G05122
737056520,94.216,-64.9588,18.77,G05122
737264926,95.1341,-62.593,18.56,G05122
737266925,96.3636,-62.0634,18.3,G05084;G05122
765238850,109.4448,-67.214,18.57,G05122
765572219,112.007,-62.9151,18.62,G05122
765691203,112.2452,-62.4219,18.35,G05122
765722352,113.2734,-61.2034,18.61,G05122
766027393,102.3014,-61.595,17.01,G05084;G05122;G05081;20SECONDTARGET
766089004,103.1976,-59.6779,18.64,G05122
650236602,54.4181,-72.0336,17.84,G05084;G05122;20SECONDTARGET
650417064,49.8798,-63.612,18.19,G05084;G05122
650514996,46.1951,-64.4407,18.15,G05084;G05122
684827308,60.7417,-69.6135,18.47,G05084;G05122
684841815,65.0178,-67.684,17.85,G05084;G05122;20SECONDTARGET

# Sector 065 targets observed (2 min: 78, 20 s: 20)
1173165341,220.9222,-42.1158,17.6,G05122;20SECONDTARGET
1152966458,230.2663,-48.1352,18.83,G05122
1156609055,236.2277,-51.4328,18.23,G05122
1164236037,238.612,-42.2777,18.63,G05122
1165383436,231.426,-45.6934,18.98,G05122
1166747231,233.0973,-44.0473,18.66,G05122
254757058,236.9782,-43.4674,15.99,G05084;G05115;G05122;G05081;20SECONDTARGET
1171145975,234.0557,-37.7286,18.25,G05122
1171894134,234.9711,-33.7763,17.79,G05122;20SECONDTARGET
1175397313,233.5295,-29.6345,18.77,G05122
1246251593,243.9835,-39.8975,17.4,G05122;20SECONDTARGET
1247283754,240.9454,-39.8263,18.06,G05084;G05122
1248224558,241.822,-37.1127,18.44,G05084;G05122
1251484163,244.7254,-35.9075,18.33,G05122
1056453227,219.6685,-28.7146,18.36,G05084;G05122
1174670944,225.9997,-33.7927,18.67,G05122
1175541131,230.3719,-30.1486,18.48,G05084;G05122
1176054895,220.6082,-30.5039,18.86,G05122
1176103422,221.6431,-29.101,18.11,G05084;G05122
1176529439,222.9688,-25.0442,17.41,G05122;20SECONDTARGET
1014992224,205.1702,-65.8322,18.56,G05122
1027878532,209.0954,-61.0771,18.45,G05122
963138030,194.7411,-66.0512,18.75,G05122
963584116,197.1863,-65.9278,18.89,G05122
969011786,190.1543,-64.6328,17.27,G05122;20SECONDTARGET
977166996,190.9111,-63.0863,18.42,G05122
1005064889,211.504,-72.4478,18.99,G05122
1005311861,216.0529,-71.0882,16.99,G05115;G05084;G05122;20SECONDTARGET
1105373013,234.7213,-73.4682,18.75,G05122
1109809004,232.0276,-67.5003,18.56,G05122
1110402022,232.4344,-66.4553,18.71,G05122
1207106880,240.0957,-67.9174,18.56,G05122
1114647772,234.3636,-62.7579,18.58,G05122
1132089896,220.9342,-61.3574,18.52,G05122
1132933214,220.8122,-58.722,17.82,G05122;20SECONDTARGET
1142639866,228.3196,-53.7137,18.36,G05122
1144234610,232.615,-52.2127,18.9,G05122
1038411651,214.6065,-57.9142,17.88,G05122;20SECONDTARGET
1043403505,218.8608,-48.7295,17.44,G05122;20SECONDTARGET
1050418416,207.5245,-50.4263,17.99,G05122;20SECONDTARGET
1104067023,236.0812,-81.1,18.49,G05122
1104077651,231.2614,-81.0095,18.26,G05122
1104413010,233.938,-77.4125,17.21,G05122;20SECONDTARGET
1205067781,242.0146,-86.1375,18.03,G05084;G05122
954424527,198.3315,-83.8818,18.22,G05122
906176361,160.3356,-69.8216,18.79,G05122
906675551,179.317,-69.2785,18.76,G05122
907983403,179.074,-67.8418,17.85,G05122;20SECONDTARGET
955939164,181.9594,-74.4241,18.89,G05122
805180537,122.823,-73.0879,18.59,G05122
805253224,124.7843,-70.9866,18.91,G05122
805403145,138.745,-68.6852,18.92,G05122
806039930,130.0645,-66.4036,18.02,G05122
844743525,151.7829,-68.9091,16.72,G05122;G05081;20SECONDTARGET
844877437,146.2539,-68.8844,17.79,G05084;G05122;20SECONDTARGET
845647136,148.3701,-67.2466,18.1,G05122
846292175,143.3279,-66.765,18.86,G05122
317302638,56.4769,-86.8741,16.79,G05115;G05084;G05122;20SECONDTARGET
735111248,96.8242,-83.6233,18.58,G05122
764468822,113.7672,-79.7364,16.95,G05084;G05115;G05122;20SECONDTARGET
842511139,156.5037,-86.4738,18.69,G05122
684827308,60.7417,-69.6135,18.47,G05084;G05122
724148777,81.4273,-79.6779,18.84,G05122
726293043,87.5717,-70.7598,17.07,G05122;G05081;20SECONDTARGET
728301418,84.4327,-69.0979,19.0,G05122
735252697,95.5265,-74.5372,18.26,G05084;G05122
736410535,95.2776,-67.3419,18.53,G05122
736592934,98.2744,-67.0089,18.7,G05122
736743909,92.4917,-66.6926,18.08,G05122
737056520,94.216,-64.9588,18.77,G05122
765238850,109.4448,-67.214,18.57,G05122
765572219,112.007,-62.9151,18.62,G05122
765691203,112.2452,-62.4219,18.35,G05122
765722352,113.2734,-61.2034,18.61,G05122
766027393,102.3014,-61.595,17.01,G05084;G05122;G05081;20SECONDTARGET
737264926,95.1341,-62.593,18.56,G05122
737266925,96.3636,-62.0634,18.3,G05084;G05122
684841815,65.0178,-67.684,17.85,G05084;G05122;20SECONDTARGET

# Sector 066 targets observed (2 min: 86, 20 s: 23)
1235659827,246.5881,-47.7841,18.67,G05122
1239494044,248.1642,-42.3491,18.54,G05122
1319029068,258.9309,-50.6109,18.98,G05122
1331897406,251.8135,-45.8259,18.57,G05122
1333721262,257.7195,-47.4487,17.91,G05122;20SECONDTARGET
1337528677,253.0711,-43.5348,18.46,G05122
1338925452,251.9142,-44.5621,18.79,G05122
1521795434,262.4458,-47.8423,17.94,G05122;20SECONDTARGET
1518770767,268.1338,-47.2866,16.82,G05122;G05081;20SECONDTARGET
1526883780,268.0321,-46.5125,18.74,G05122
1530167155,268.2762,-43.8308,18.3,G05122
1691436669,275.2754,-52.3013,18.34,G05122
1691524311,279.7441,-52.9232,18.95,G05122
1693533113,276.1146,-47.5494,18.99,G05122
1694750014,278.7062,-45.1252,17.79,G05122;20SECONDTARGET
1819001758,281.0682,-46.4303,18.25,G05122
471013569,266.9455,-52.1197,15.9,G05122;20SECONDTARGET
1422186896,266.6214,-32.7537,18.24,G05122
1422283252,266.4507,-32.7617,18.75,G05122
1541112431,265.3344,-40.437,17.95,G05122;20SECONDTARGET
1569569920,276.0466,-34.0888,18.96,G05122
1697348546,279.7118,-41.2263,17.23,G05084;G05122;20SECONDTARGET
1697813218,278.2615,-41.3506,17.38,G05122;20SECONDTARGET
1700790220,273.2546,-40.3742,18.38,G05084;G05122
1338711747,253.6549,-41.3604,18.48,G05122
1338768271,254.312,-40.5544,18.37,G05122
1338866638,256.1235,-39.7188,18.31,G05122
1342781981,254.3903,-37.421,18.82,G05122
1357431883,259.273,-31.998,18.51,G05122
1362616422,254.1497,-33.2395,18.69,G05122
1366215830,252.6014,-31.2044,18.24,G05122
1539567943,262.05,-40.7089,17.89,G05122;20SECONDTARGET
1546691483,261.2306,-36.7925,17.8,G05122;20SECONDTARGET
1105373013,234.7213,-73.4682,18.75,G05122
1109809004,232.0276,-67.5003,18.56,G05122
1110402022,232.4344,-66.4553,18.71,G05122
1205794004,243.7214,-72.5226,18.82,G05122
1206233402,246.1976,-69.2111,18.9,G05122
1207106880,240.0957,-67.9174,18.56,G05122
1310281833,255.5071,-70.7552,17.94,G05084;G05122;20SECONDTARGET
1509273671,266.5578,-70.6497,16.88,G05122;20SECONDTARGET
1688428388,275.603,-72.9549,18.89,G05122
1815585262,288.1898,-76.8224,18.28,G05084;G05122
1922156435,292.9529,-75.0076,18.69,G05122
1922250875,297.4897,-71.2001,18.15,G05084;G05122
1509778786,266.9345,-65.6159,18.2,G05122
1510108897,268.6917,-65.8569,17.57,G05122;20SECONDTARGET
1689080830,275.9112,-65.1381,18.49,G05084;G05122
1690057160,270.34,-60.0319,18.5,G05084;G05122
1816589667,284.7586,-60.9207,17.81,G05084;G05122;20SECONDTARGET
380829785,269.8807,-62.0198,16.16,G05122;20SECONDTARGET
1211727347,243.937,-59.6151,18.6,G05122
1688094883,274.3024,-87.0554,18.8,G05122
1922028070,297.6805,-81.8256,18.23,G05084;G05122
1922050831,294.871,-79.7036,18.34,G05122
2025895835,327.0584,-78.4719,18.27,G05084;G05122
2054489342,340.7638,-83.6235,18.38,G05122
1104067023,236.0812,-81.1,18.49,G05122
1104077651,231.2614,-81.0095,18.26,G05122
1104413010,233.938,-77.4125,17.21,G05122;20SECONDTARGET
954424527,198.3315,-83.8818,18.22,G05122
764468822,113.7672,-79.7364,16.95,G05084;G05115;G05122;20SECONDTARGET
804812400,133.0267,-77.6844,17.7,G05084;G05122;20SECONDTARGET
317302638,56.4769,-86.8741,16.79,G05115;G05084;G05122;20SECONDTARGET
650034205,52.3305,-81.8583,18.85,G05122
724148777,81.4273,-79.6779,18.84,G05122
650236602,54.4182,-72.0336,17.84,G05084;G05122;20SECONDTARGET
684827308,60.7417,-69.6135,18.47,G05084;G05122
684841815,65.0178,-67.684,17.85,G05084;G05122;20SECONDTARGET
728301418,84.4327,-69.0979,19.0,G05122
735252697,95.5265,-74.5372,18.26,G05084;G05122
735599397,97.4252,-71.2717,18.49,G05084;G05122
736410535,95.2776,-67.3419,18.53,G05122
736592934,98.2744,-67.0089,18.7,G05122
736743909,92.4917,-66.6926,18.08,G05122
765238850,109.4448,-67.214,18.57,G05122
765572219,112.007,-62.9151,18.62,G05122
805180537,122.823,-73.0879,18.59,G05122
805253224,124.7843,-70.9866,18.91,G05122
737264926,95.1341,-62.593,18.56,G05122
737266925,96.3636,-62.0635,18.3,G05084;G05122
766027393,102.3014,-61.595,17.01,G05084;G05122;G05081;20SECONDTARGET
766089004,103.1976,-59.6779,18.64,G05122
766180021,103.4794,-56.4129,17.02,G05084;G05122;G05081;20SECONDTARGET
767031087,102.4798,-54.7092,18.8,G05122
767158947,105.057,-53.4903,18.98,G05122

# Sector 067 targets observed (2 min: 81, 20 s: 18)
1818257462,288.1762,-48.8455,18.31,G05084;G05122
1818275157,283.9502,-51.1092,18.24,G05122
1818564681,284.6897,-47.5205,17.28,G05084;G05122;20SECONDTARGET
1923602841,296.2651,-49.1588,18.81,G05122
1923811293,291.5685,-46.8162,18.18,G05122
1923999098,290.1841,-44.3877,18.69,G05122
1924260424,296.5452,-46.9246,18.97,G05122
1990133160,300.1225,-50.9831,18.81,G05122
1990495996,310.9554,-45.819,18.59,G05122
1990591243,311.2229,-43.4888,16.59,G05084;G05115;G05122;20SECONDTARGET
1990776990,307.526,-40.4981,18.33,G05122
1926556727,299.8292,-30.0657,18.43,G05122
1926703973,296.9016,-31.011,17.4,G05084;G05122;20SECONDTARGET
1992563188,307.3302,-29.4741,18.89,G05122
212294598,309.4627,-28.9652,16.52,G05084;G05115;G05122;20SECONDTARGET
112893447,292.2771,-33.0392,16.32,G05084;G05115;G05122;20SECONDTARGET
1820037483,289.9153,-39.9961,18.35,G05084;G05122
1820875260,286.2572,-39.7994,18.2,G05084;G05122
1828548718,283.032,-30.6517,18.74,G05122
1925163726,292.1438,-39.2907,17.01,G05122;20SECONDTARGET
1926653464,294.6565,-31.0787,17.6,G05122;20SECONDTARGET
1815585262,288.1898,-76.8224,18.28,G05084;G05122
1922156435,292.9529,-75.0077,18.69,G05122
1922250875,297.4897,-71.2001,18.15,G05084;G05122
1988004101,319.8862,-72.8039,18.9,G05122
1988192040,311.7983,-69.7456,18.8,G05122
1988254010,316.3324,-67.0667,18.87,G05122
2026065597,328.0037,-72.6728,17.73,G05084;G05122;20SECONDTARGET
2026198078,329.6772,-71.7343,18.44,G05122
2026518709,335.053,-63.3119,17.2,G05084;G05122;20SECONDTARGET
1989065371,317.0466,-56.7821,18.94,G05122
1989144690,317.2866,-54.4268,18.78,G05122
1989216647,308.7858,-57.6744,18.85,G05122
1989490060,304.5635,-53.5547,18.87,G05122
1989538615,306.7523,-52.2701,18.16,G05122
1989690086,313.0361,-50.2268,18.07,G05084;G05122
2026691629,328.4594,-56.8344,18.58,G05122
2026728454,321.0089,-60.0168,18.02,G05122
1816497105,289.3233,-60.818,18.05,G05084;G05122
1816589667,284.7586,-60.9207,17.81,G05084;G05122;20SECONDTARGET
1922950276,297.7447,-59.9967,18.23,G05084;G05122
1923241270,298.3787,-54.6755,17.13,G05122;20SECONDTARGET
1923327491,296.026,-53.7056,18.03,G05084;G05122
1988596152,304.3604,-63.6854,18.62,G05122
1989477452,301.273,-54.108,18.56,G05122
612211824,8.3937,-77.7271,18.73,G05122
612253492,0.99,-77.7134,18.3,G05122
612407117,4.041,-75.0752,18.75,G05122
1688094883,274.3024,-87.0554,18.8,G05122
1922028070,297.6805,-81.8256,18.23,G05084;G05122
1922050831,294.871,-79.7036,18.34,G05122
2025895835,327.0584,-78.4719,18.27,G05084;G05122
2054489342,340.7638,-83.6235,18.38,G05122
317302638,56.4769,-86.8741,16.79,G05115;G05084;G05122;20SECONDTARGET
650034205,52.3305,-81.8583,18.85,G05122
724148777,81.4273,-79.6779,18.84,G05122
735111248,96.8242,-83.6233,18.58,G05122
764468822,113.7672,-79.7364,16.95,G05084;G05115;G05122;20SECONDTARGET
630835155,23.6475,-76.9963,18.25,G05084;G05122
630840772,25.2453,-76.4449,18.36,G05084;G05122
630895865,23.4097,-74.7736,18.61,G05122
650236602,54.4182,-72.0336,17.84,G05084;G05122;20SECONDTARGET
684827308,60.7417,-69.6135,18.47,G05084;G05122
684841815,65.0178,-67.684,17.85,G05084;G05122;20SECONDTARGET
726293043,87.5718,-70.7598,17.07,G05122;G05081;20SECONDTARGET
735252697,95.5265,-74.5372,18.26,G05084;G05122
735599397,97.4252,-71.2717,18.49,G05084;G05122
736410535,95.2776,-67.3419,18.53,G05122
736592934,98.2744,-67.0089,18.7,G05122
736743909,92.4917,-66.6926,18.08,G05122
765238850,109.4448,-67.214,18.57,G05122
737056520,94.216,-64.9588,18.77,G05122
737264926,95.1341,-62.593,18.56,G05122
737266925,96.3636,-62.0635,18.3,G05084;G05122
765572219,112.007,-62.9151,18.62,G05122
765691203,112.2452,-62.4219,18.35,G05122
765722352,113.2734,-61.2034,18.61,G05122
766027393,102.3014,-61.595,17.01,G05084;G05122;G05081;20SECONDTARGET
