# TESS Program G04103

Title: A Survey Of Oscillations And Granulation In Evolved Solar-Type Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Brightness variations in high-precision light curves encode powerful information about fundamental properties and convective processes in solar-type stars through oscillations and granulation. However, the current sample of stars with detected oscillations and granulation is focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to measure oscillations and granulation in evolved solar-type stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 040 targets observed (2 min: 3486, 20 s: 3)
40997206,293.6389,31.5095,9.32,G04103
41291077,293.9589,33.8209,10.81,G04103
41602386,294.0586,33.1817,9.56,G04103
41602482,294.0562,33.2009,10.28,G04103
41605173,294.0513,33.6823,9.27,G04103
41837914,285.6718,31.3995,7.57,G04103
41874716,285.77,35.0439,10.37,G04103
41877941,285.8475,33.529,11.71,G04103
41969113,286.0369,30.6204,10.96,G04103
41970208,285.9868,31.0165,8.23,G04103
42059696,285.9997,33.1077,11.32,G04103
42063235,285.9845,34.6578,9.65,G04103
42065526,286.0298,35.7846,7.9,G04103
42069294,286.0758,34.2724,10.41,G04103
42095195,286.0888,32.9975,8.73,G04103
42102487,286.0769,30.177,11.47,G04103
42104781,286.1874,30.437,10.14,G04103
42201967,286.2931,34.2221,9.26,G04103
42205626,286.2018,35.9309,10.03,G04103
42315320,286.3787,33.8724,8.16,G04103
42376100,286.5397,30.4385,7.69,G04103
42441580,286.6948,35.642,10.82,G04103
42444780,286.7162,34.1691,10.67,G04103
42446008,286.7093,33.6488,7.89,G04103
42449417,286.6097,32.3581,11.01,G04103
42451139,286.6828,31.68,9.71,G04103
42551532,286.8574,32.5019,4.86,G04123;G04125;G04103
42555097,286.8353,33.9585,11.15,G04103
425711340,282.061,32.9684,8.37,G04103
425914829,282.3067,34.137,8.03,G04103
426114400,287.6903,31.6347,6.82,G04103
426114587,287.6245,32.1093,10.09,G04103
42631662,286.9369,31.9788,9.87,G04103
42703482,287.0207,30.7925,9.75,G04103
42812942,287.2687,34.6016,6.15,G04103
42980456,287.4027,32.953,10.25,G04123;G04106;G04103
