# TESS Program G04074

Title: Probing Massive Star Interiors With Asteroseismology

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective core overshooting. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star s interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 040 targets observed (2 min: 189, 20 s: 2)
13002932,305.1177,41.3643,9.59,G04074
13116289,305.1874,39.3657,8.27,G04074
13118749,305.2556,39.0144,9.19,G04074
13120899,305.1888,38.7213,10.59,G04074
13121072,305.1186,38.6992,11.09,G04074
13127530,305.2309,37.7321,8.06,G04074
13248512,305.2766,36.8085,9.07,G04074
13249293,305.3822,36.9202,8.64,G04074
13252071,305.3815,37.3448,10.24,G04074
13252288,305.3535,37.38,10.63,G04074
13252446,305.314,37.4086,6.93,G04074
13252478,305.3899,37.4143,10.0,G04074
13252500,305.4153,37.4182,10.29,G04074
13252516,305.4112,37.4209,9.12,G04067;G04074
13252522,305.4087,37.4214,10.13,G04074
13332665,305.3566,38.5905,11.33,G04074
13332837,305.3964,38.6132,9.41,G04074
13336035,305.2814,39.0315,7.53,G04074
13340937,305.3863,39.8293,6.85,G04074
13418870,305.3576,41.1943,6.77,G04067;G04074
13425057,305.5227,40.9856,7.01,G04074
13543144,305.4837,39.4591,8.67,G04074
13549299,305.4622,38.6294,8.01,G04074
13557651,305.4472,37.4422,10.16,G04074
136400283,305.5486,35.2367,9.23,G04074
13779328,305.6889,37.9615,7.92,G04074
13780417,305.6482,38.1293,7.37,G04074
13780749,305.6743,38.177,9.93,G04074;G04171
13784783,305.5873,38.7248,8.42,G04074
13785212,305.6164,38.781,10.02,G04074
13786188,305.601,38.9055,9.59,G04074
13867573,305.6865,40.7146,6.94,G04074
13876370,305.7949,40.8749,7.41,G04074
13876732,305.8278,40.8106,10.84,G04074
13876799,305.8191,40.8005,11.01,G04074
13877006,305.7815,40.7691,9.45,G04074
13877064,305.7456,40.7609,9.99,G04074
13877074,305.8257,40.759,5.84,G04074
13880268,305.8451,40.1562,8.55,G04074
13967727,305.7562,39.3446,8.56,G04074
13968858,305.7951,39.1623,8.92,G04171;G04074
13970315,305.8596,38.9391,7.58,G04074
13971092,305.7779,38.821,10.04,G04074
13972612,305.8585,38.604,10.46,G04074
13973539,305.762,38.4558,8.87,G04067;G04074
14101482,305.9584,36.5225,8.83,G04074
14106718,305.8877,37.3072,8.28,G04074
14200511,305.9349,37.4764,6.12,G04150;G04067;G04074
14206699,305.9947,38.4325,10.73,G04074
14206948,305.9792,38.4663,8.58,G04074
14207008,305.9285,38.4759,11.03,G04074
14207082,305.9795,38.4855,10.52,G04074
14207175,305.9415,38.5008,8.08,G04067;G04074
14207176,305.9537,38.501,11.25,G04074
14207237,305.9896,38.5096,12.06,G04074
14207262,306.0054,38.5137,8.13,G04074
14207366,305.9981,38.53,9.44,G04074
14209654,305.8977,38.8824,8.03,G04074
14211160,305.9966,39.1043,8.69,G04074
14212879,305.8689,39.3497,9.34,G04074
14312409,305.8906,40.7555,10.51,G04074
14410717,306.0194,38.5381,7.93,G04074
14411033,306.0272,38.4925,8.12,G04067;G04074
14541657,306.2789,37.4656,8.77,G04074
14621767,306.2098,38.3096,10.44,G04074
14627618,306.2416,39.4583,8.6,G04074
14741325,306.3422,40.217,7.97,G04074
14741340,306.3704,40.215,9.01,G04074
14834053,306.3432,38.7904,9.93,G04074
14842608,306.4192,37.3741,8.34,G04074;G04171
15072015,306.5872,39.6694,8.29,G04074;G04171
15126043,306.4795,41.3366,7.72,G04067;G04074
15126246,306.5897,41.3793,6.35,G04074
15561759,307.0644,40.6388,8.95,G04074
15562024,306.9317,40.5954,9.1,G04074
15791001,307.0741,38.356,8.73,G04067;G04074
15892555,307.1334,40.8175,7.75,G04074
161177014,308.8366,34.0127,9.67,G04067;G04074
161179275,308.7759,33.5524,8.26,G04074;G04123
161805246,309.467,33.4638,10.07,G04074
16187387,307.449,36.9803,7.57,G04150;G04067;G04074
16625516,307.7508,40.8304,9.78,G04074
16728252,307.7939,41.5315,9.51,G04171;G04074
16732768,307.8418,41.5245,9.34,G04074
16733096,307.9569,41.474,10.31,G04074
16734200,307.9414,41.2908,8.7,G04074
16734598,307.9063,41.2225,8.27,G04074;G04171
17034490,308.0934,41.3052,7.06,G04074
17035332,308.0157,41.4195,11.47,G04074
