# TESS Program G022171

Title: Confronting The Stellar Gyrochronology Paradigm Using Wide Binaries In The TESS Fields

PI: Oswalt, Terry - Embry-Riddle Aeronautical University

Type: SMALL

Summary: Essential to understanding the history of the Galaxy's stellar populations, ages are among the most difficult to measure properties of stars. Accurate ages provide leverage on problems ranging from exoplanet habitability to the Galaxy's chemical evolution and age. Gyrochronology, an empirical relation between rotation and age, is believed to be among the best current methods of stellar age determination. We propose to test several competing gyrochronology models using wide binaries in the TESS fields. Such pairs can help unravel and quantify the rotation-activity-metallicity vs. age relations for main sequence stars. They span a much broader range in age and metallicity than stellar clusters, which often have mixed populations and have lost low mass stars.


# Sector 014 targets observed (65)
202503540,229.9986,60.3398,7.34,G022171
230073581,244.1711,67.2393,6.97,G022187;G022198;G022080;G022238;G022053;G022171
405559527,234.7272,57.4617,5.32,G022171
141816675,205.1861,59.7149,8.69,G022171
141816678,205.1832,59.7286,8.63,G022171
441685079,211.6929,59.7711,9.12,G022171
441685082,211.7059,59.7594,8.79,G022171
154068408,207.7437,68.315,5.35,G022171
154562198,189.1296,73.3187,9.34,G022171
154563894,189.1573,73.2985,9.48,G022171
232965935,197.6163,70.7583,10.82,G022171
232967440,197.6833,70.7679,10.29,G022171
341545045,201.7683,64.7357,6.25,G022171
459222815,201.793,64.7197,6.62,G022171
224299927,185.5789,58.0866,9.65,G022171
55754318,181.4429,53.9301,9.91,G022171
55754320,181.4473,53.9152,8.37,G022171

# Sector 016 targets observed (54)
329759640,332.9556,56.8401,4.76,G022103;G022069;G022133;G022032;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
416977316,322.9565,48.4817,8.79,G022062;G022171
416977327,322.936,48.4842,7.71,G022171
128495470,338.9678,39.6343,5.89,G022171
128721058,339.9083,41.396,8.16,G022161;G022171
129533458,343.9356,36.3514,5.78,G022171;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
129538133,344.0984,41.6039,5.77,G022171;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
428040440,350.7709,45.01,8.15,G022171
428040448,350.8007,45.0035,8.99,G022171
366513886,302.1688,67.4694,9.62,G022171
366513907,302.1733,67.4966,9.36,G022171
420137493,291.7655,73.3454,9.57,G022171
229438448,293.292,60.1587,4.84,G022171
232644906,281.5613,56.4954,10.45,G022171
232644908,281.586,56.4966,10.01,G022171
365050367,298.3981,59.709,6.06,G022171
267863491,312.2789,58.7477,6.95,G022103;G022171
295412684,303.4201,53.126,6.68,G022171
63315565,319.9199,53.0581,5.91,G022171
64774351,322.4707,52.9339,7.27,G022171
315917180,316.1117,65.0207,8.29,G022171
315917196,316.0818,65.0237,9.79,G022171
353863850,331.0537,59.8672,6.91,G022062;G022171
411043004,328.4504,62.6144,6.81,G022062;G022172;G022171
421714420,324.6907,55.7916,7.78,G022161;G022171
229686919,263.0682,55.1732,4.61,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
229686929,263.0455,55.1845,4.66,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
