# TESS Program G011060
            
Title: Rotationally-Induced Variability Of Chemically Peculiar (Cp) Stars

PI: Paunzen, Ernst - Masarykova Univerzita

Type: N/A

Summary: The chemically peculiar (CP) stars of the upper main sequence (B0 to F4) allow the testing of current theories on stellar formation and evolution in the presence of a magnetic field, elemental diffusion and meridional circulation. Several subgroups exhibit an inhomogene-ous surface distribution of elements, which leads to spectroscopic and photometric varia-tions with the rotation period. Therefore, the rotation period can be directly measured which is unique among stars of these spectral types. The resulting sample of rotational periods will allow for an analysis of its behaviour among upper-MS stars, which we will correlate with stellar parameters derived from GAIA data. TESS data will also enable us to search for the effects of binarity in the light curves.                              


# Sector 001 targets observed (197)
141152931,80.5866,-75.0102,8.16,G011060
141610473,88.9616,-77.8455,9.38,G011127;G011060
141808675,92.6773,-73.0129,7.53,G011060
142087047,98.7099,-75.2188,8.85,G011060
142110536,99.3717,-74.3059,8.47,G011060
177389261,104.8307,-76.7086,9.28,G011060
261376796,93.0066,-81.5493,7.77,G011227;G011060
271554988,105.8794,-72.7638,9.32,G011060
271721765,110.4406,-75.3518,8.51,G011060
271793579,111.3176,-77.4479,9.28,G011060
271890182,112.801,-74.6909,7.32,G011060
33836359,64.0614,-75.344,8.09,G011060
364424408,69.7568,-75.1028,9.92,G011127;G011060
370222613,73.3666,-72.7649,7.14,G011060
389922504,87.8598,-70.4793,8.3,G011127;G011060
391927456,107.6249,-72.3426,7.82,G011060
391927730,108.1712,-72.0029,9.23,G011127;G011060
407621267,69.4623,-77.0808,9.13,G011060
41032824,90.3312,-70.0125,7.85,G011060
41259805,92.1222,-71.1199,8.85,G011127;G011060
425064757,82.9179,-69.8837,11.46,G011268;G011060
167751145,103.9712,-64.9971,9.73,G011127;G011060
262613883,116.66,-61.7317,9.29,G011127;G011060
287273024,109.413,-59.262,7.43,G011060
300038935,107.8437,-68.8333,9.08,G011060
300710144,115.2643,-71.2089,8.68,G011060
306573201,119.1954,-70.7162,8.59,G011127;G011060
306893839,121.9636,-69.8992,8.07,G011127;G011060
309067801,123.4974,-62.4356,8.26,G011060
309148260,123.8721,-61.8526,9.85,G011127;G011060
348898673,106.1613,-61.8439,9.56,G011127;G011060
349056430,107.4062,-62.3047,8.19,G011060
349409806,110.3716,-61.9925,8.11,G011060
349409844,110.421,-61.9513,6.98,G011127;G011060
350146577,115.9039,-63.3989,8.35,G011127;G011060
358467049,119.1927,-60.8161,8.74,G011230;G011241;G011060
358467700,119.0945,-61.2839,9.3,G011127;G011060
372913233,119.4384,-60.9264,6.83,G011230;G011060
372913684,119.5121,-60.6147,7.65,G011127;G011230;G011154;G011060
382512330,117.5164,-60.667,8.82,G011127;G011060
382631447,118.6749,-60.9635,10.61,G011060
391892593,115.455,-68.0284,9.32,G011060
410451677,119.9908,-60.7467,8.37,G011060
410451752,119.8644,-60.7964,9.56,G011127;G011230;G011060
149600846,87.0306,-61.2028,8.46,G011060
149630117,87.4444,-60.8054,9.05,G011060
150357935,96.1953,-62.8364,8.0,G011060
219149521,89.6714,-52.7924,7.79,G011060
219155952,90.2047,-51.2158,5.53,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
260416268,95.7323,-56.3701,5.47,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
260505542,96.7452,-55.0331,8.19,G011060
260609222,97.4443,-57.2749,8.84,G011060
279090002,102.6039,-58.7576,9.63,G011060
350443417,85.3048,-57.4411,9.0,G011154;G011060
350519062,86.0838,-56.916,7.47,G011127;G011060
350580827,86.8899,-55.0365,8.1,G011060
375092757,88.7086,-52.6343,5.29,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 002 targets observed (174)
12974182,346.209,-27.1361,6.78,G011060
13092260,348.9283,-27.1783,8.57,G011060
13140339,349.7236,-28.741,7.54,G011227;G011060
152864226,345.2542,-37.3592,7.84,G011060
154842794,345.8747,-34.749,5.15,G011155;G011060;G011048;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
206648435,342.37,-32.5597,9.56,G011127;G011060
206660904,343.0449,-34.6342,7.65,G011060
206663039,343.1293,-32.876,4.49,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
218972061,349.0,-33.148,8.55,G011060
218979514,349.8695,-33.0303,8.15,G011060
47526742,344.0098,-28.024,7.97,G011060
12359289,0.9046,-28.4171,8.43,G011127;G011060
12393823,1.2119,-29.633,8.33,G011127;G011154;G011060
12423805,2.5288,-26.2157,12.97,G011281;G011060
12470841,3.3915,-29.5758,8.44,G011060
152086729,0.5197,-22.3275,9.79,G011127;G011060
246845553,5.0825,-24.7031,8.35,G011060
246853154,6.0779,-28.9806,8.03,G011060
33911462,355.9924,-24.7648,8.06,G011060
33984043,357.4565,-25.3315,6.37,G011060
34038104,358.5873,-27.0428,7.06,G011060
34038105,358.5893,-27.0429,6.74,G011224;G011060
369397090,358.1506,-30.1693,12.49,G011281;G011060
65262239,359.6305,-24.1694,7.74,G011060
70744515,0.8032,-31.2124,8.8,G011154;G011060
228382006,357.6155,-14.9838,7.33,G011224;G011060
402318229,353.331,-14.1502,8.96,G011060
434097052,352.4915,-12.8769,8.23,G011060
434103853,353.246,-11.9877,7.89,G011127;G011060
434107405,354.6396,-13.7122,7.8,G011060
89543393,357.7649,-19.0747,11.5,G011154;G011060
9054457,356.1751,-8.4628,7.99,G011227;G011060
9211526,352.567,-21.8826,7.14,G011060
146165482,342.1488,-17.2562,8.2,G011227;G011060
336731635,340.5908,-20.6257,10.91,G011127;G011060
69750857,336.8,-19.4434,8.35,G011060
69855370,338.3014,-20.0394,9.18,G011127;G011060
69912650,339.3746,-20.3785,7.41,G011060
155966613,6.5504,-51.6394,8.94,G011060
201233593,359.4453,-49.4002,8.13,G011060
206286414,353.0895,-49.2157,9.11,G011060
219340705,355.0045,-56.7402,8.71,G011127;G011060;G011250
281668790,10.4442,-56.501,5.7,G011155;G011127;G011176;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
316913639,355.6417,-57.4781,8.66,G011127;G011060
102034461,16.598,-47.5952,7.57,G011227;G011060
160191930,27.1913,-46.8564,9.12,G011060
382551556,19.4971,-52.1058,7.17,G011060
382551780,19.4223,-51.0346,8.0,G011060
80474886,12.5158,-43.3949,6.23,G011224;G011060
116881415,8.6152,-36.6302,9.35,G011127;G011060
118114352,10.0496,-36.0675,9.66,G011127;G011060
120443206,0.853,-35.9651,8.98,G011060
340705975,16.6112,-35.6608,6.51,G011060
144276313,353.7694,-42.615,4.67,G011155;G011127;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
144301739,354.463,-45.4924,4.64,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
144335400,356.0653,-43.024,7.6,G011227;G011060
144383009,356.9007,-45.3296,8.4,G011227;G011060
224244458,353.2434,-37.8181,4.41,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
224280541,355.78,-36.7849,7.21,G011060
402047030,352.3572,-48.4001,8.05,G011060
425862832,351.9687,-43.7038,9.11,G011060
166698220,35.7279,-51.0918,5.77,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
201752367,33.0424,-55.4727,8.49,G011060
219987521,30.108,-49.0706,10.1,G011154;G011060
219990267,30.7852,-48.7941,8.71,G011060
229139161,26.0629,-50.0992,8.59,G011060
231009795,25.7062,-54.6971,7.68,G011060
231014033,26.5501,-56.1816,9.23,G011060
231061733,31.2506,-57.3733,8.8,G011154;G011060
