# TESS Program G06161

Title: Ultra-High-Speed Observations Of White Dwarfs In TESS Cycle 6

PI: Hermes, James - Boston University

Type: SMALL

Summary: We propose ultrafast, 20-second-cadence observations of several hundred white dwarfs visible in Cycle 6 of the TESS mission. Our proposed 20-second observations will uniquely enable asteroseismology of a large sample of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of pulsating white dwarfs. We also propose to observe a subset of white dwarfs with known rapid variability detected by previous TESS data, including many white dwarfs in eclipsing compact binaries as well as some transiting planetary debris systems. Our proposed science case requires the fastest cadence available from TESS, and will expand the largest catalog of rapid variability in white dwarfs ever created.


# Sector 070 targets observed (2 min: 123, 20 s: 123)
415337224,58.7266,7.7679,16.56,G06161;G06049;G06028;G06024;20SECONDTARGET
415339071,58.8428,9.7883,14.68,G06161;G06049;G06028;G06197;20SECONDTARGET
468887063,56.7139,7.4673,16.59,G06161;G06049;G06028;20SECONDTARGET
640101084,54.9941,9.8199,16.64,G06161;G06049;G06028;20SECONDTARGET
640201450,50.2877,14.182,17.22,G06161;G06049;G06028;20SECONDTARGET
640265592,57.4139,10.6138,16.78,G06161;20SECONDTARGET
640284536,56.7436,12.7916,16.78,G06161;G06049;G06028;20SECONDTARGET
15933236,62.5435,18.0394,14.32,G06161;G06049;G06028;G06075;G06197;20SECONDTARGET
16007051,63.2886,18.9935,16.33,G06161;G06049;G06028;20SECONDTARGET
373261269,70.2579,10.9944,14.19,G06161;G06049;G06028;G06197;20SECONDTARGET
408000326,63.1819,11.863,14.15,G06161;G06049;G06028;G06197;G06024;20SECONDTARGET
435937495,65.9829,16.354,14.57,G06161;G06049;G06028;G06197;20SECONDTARGET
660087565,64.6152,19.4839,16.66,G06161;G06049;G06028;20SECONDTARGET
673623102,65.4535,15.4874,16.89,G06161;G06049;G06028;20SECONDTARGET
674339765,67.9136,19.3576,17.47,G06161;G06049;G06028;20SECONDTARGET
268442051,68.4778,28.4577,15.84,G06161;G06049;G06028;20SECONDTARGET
348798660,61.1432,25.1463,13.89,G06161;G06049;G06028;20SECONDTARGET
427771898,69.1888,27.1633,15.15,G06161;G06049;G06028;G06024;20SECONDTARGET
58285090,64.7365,27.2963,15.07,G06161;G06049;G06028;G06075;20SECONDTARGET

# Sector 071 targets observed (2 min: 104, 20 s: 104)
52159662,41.0029,14.4083,16.76,G06161;G06049;G06028;20SECONDTARGET
640201450,50.2877,14.182,17.22,G06161;G06049;G06028;20SECONDTARGET
218087616,41.742,16.3785,15.65,G06161;G06049;G06028;20SECONDTARGET
238343379,39.5097,22.1869,15.6,G06161;G06049;G06028;20SECONDTARGET
402365398,50.0171,19.7928,15.85,G06161;G06049;G06028;20SECONDTARGET
426472882,48.9634,22.2066,16.07,G06161;G06049;G06028;20SECONDTARGET
438268442,46.526,18.7366,16.43,G06161;G06049;G06028;20SECONDTARGET
640949689,44.4054,26.6798,17.02,G06161;G06049;G06028;20SECONDTARGET
91416978,44.0745,23.5727,16.6,G06161;G06049;G06028;20SECONDTARGET
246981758,36.4444,21.2502,16.1,G06161;G06049;G06028;20SECONDTARGET
257841781,37.2076,15.3428,16.53,G06161;G06049;G06028;G06175;20SECONDTARGET
404713691,29.9135,15.8132,15.72,G06161;G06049;G06028;20SECONDTARGET
404736570,30.2934,12.2066,15.85,G06161;G06049;G06028;20SECONDTARGET
408594473,34.6999,14.6015,14.81,G06161;G06049;G06028;20SECONDTARGET
426147956,33.2723,16.7193,16.25,G06161;G06049;G06028;20SECONDTARGET
456937772,27.2382,19.0402,15.6,G06161;G06049;G06028;20SECONDTARGET
365247111,39.6387,7.1358,16.5,G06161;G06049;G06028;20SECONDTARGET
377056497,40.5363,11.2072,15.96,G06161;G06049;G06028;20SECONDTARGET
422888592,37.5698,5.2639,13.05,G06161;G06049;G06028;G06197;G06197;20SECONDTARGET
620065517,36.6248,12.4228,16.93,G06161;G06049;G06028;20SECONDTARGET
630366283,33.9032,4.2272,16.91,G06161;G06049;G06028;20SECONDTARGET
630493691,30.0987,7.3821,16.63,G06161;20SECONDTARGET
640054238,42.2204,6.3242,17.13,G06161;G06049;G06028;20SECONDTARGET
373261269,70.2579,10.9944,14.19,G06161;G06049;G06028;G06197;20SECONDTARGET
435937495,65.9829,16.354,14.57,G06161;G06049;G06028;G06197;20SECONDTARGET
674339765,67.9136,19.3576,17.47,G06161;G06049;G06028;20SECONDTARGET
268442051,68.4778,28.4577,15.84,G06161;G06049;G06028;20SECONDTARGET
349072295,75.7757,25.064,16.19,G06161;G06049;G06028;20SECONDTARGET
366080582,75.4281,33.3956,16.23,G06161;G06024;20SECONDTARGET
427771898,69.1888,27.1633,15.15,G06161;G06049;G06028;G06024;20SECONDTARGET
58285090,64.7365,27.2963,15.07,G06161;G06049;G06028;G06075;20SECONDTARGET
661119673,70.7432,32.6208,17.36,G06161;G06049;G06028;20SECONDTARGET
25969751,52.1058,21.8852,15.58,G06161;G06049;G06028;20SECONDTARGET
26126462,53.7217,22.8361,15.5,G06161;G06049;G06028;20SECONDTARGET
348798660,61.1432,25.1463,13.89,G06161;G06049;G06028;20SECONDTARGET
640714388,52.0716,25.4815,16.92,G06161;G06049;G06028;20SECONDTARGET
67828049,56.3007,19.6731,14.29,G06161;20SECONDTARGET
15933236,62.5435,18.0394,14.32,G06161;G06049;G06028;G06075;G06197;20SECONDTARGET
16007051,63.2886,18.9935,16.33,G06161;G06049;G06028;20SECONDTARGET
243011525,60.6675,12.4749,17.01,G06161;G06049;G06028;20SECONDTARGET
243016691,60.9263,14.9912,15.15,G06161;G06049;G06028;20SECONDTARGET
408000326,63.1819,11.863,14.15,G06161;G06049;G06028;G06197;G06024;20SECONDTARGET
415337224,58.7266,7.7679,16.56,G06161;G06049;G06028;G06024;20SECONDTARGET
415339071,58.8428,9.7883,14.68,G06161;G06049;G06028;G06197;20SECONDTARGET
468887063,56.7139,7.4673,16.59,G06161;G06049;G06028;20SECONDTARGET
640101084,54.9941,9.8199,16.64,G06161;G06049;G06028;20SECONDTARGET
640265592,57.4139,10.6138,16.78,G06161;20SECONDTARGET
640284536,56.7436,12.7916,16.78,G06161;G06049;G06028;20SECONDTARGET
