# TESS Program G06032

Title: Ephemeris Refinement For The Esa-Ariel Mission

PI: Edwards, Billy - Sron, Netherlands Institute For Space Research

Type: MINI

Summary: The ESA-Ariel mission will characterise the atmospheres of ~1000 exoplanets. To facilitate this survey, it is critical that the ephemerides of these targets are well-known. We propose to ensure that there is 2-minute data for key currently known exoplanets and TESS Planet Candidates. These data will allow for accurate measurements of the transit mid-time and, therefore, of the planet's period. Hence, we will use the requested data to support the Ariel mission by refining the ephemerides of hundreds of targets.


# Sector 070 targets observed (2 min: 93, 20 s: 29)
26017005,52.3421,22.2993,12.55,G06165;G06058;G06032
28961316,50.2753,25.2972,11.32,G06032
29017001,50.7872,24.69,9.58,G06200;G06032;20SECONDTARGET
427578289,54.9102,28.9806,13.37,G06032
467651916,60.6,31.3294,7.78,G06200;G06032;G06144;20SECONDTARGET
467684543,60.9647,31.776,12.54,G06032
56399553,62.6705,24.4016,11.55,G06062;G06165;G06058;G06032
283605976,61.9,11.5175,11.79,G06032
434226736,63.2742,15.2477,13.03,G06040;G06036;G06165;G06058;G06120;G06155;G06032;20SECONDTARGET
435336785,55.1409,13.5528,6.79,G06200;G06032;20SECONDTARGET
468880077,56.5049,9.9903,9.45,G06200;G06032;20SECONDTARGET
115453244,83.654,30.4063,12.23,G06032
115457180,83.8911,31.1645,11.01,G06032
239816546,87.188,32.084,11.98,G06062;G06165;G06058;G06032
312689217,88.9856,34.2658,12.15,G06032
3224605,82.3849,33.2468,11.99,G06148;G06032
3364732,82.5603,31.1817,13.14,G06032
366527844,76.4784,32.7231,12.41,G06032
366754985,77.0065,31.8983,10.82,G06032
367366318,78.2956,33.3178,8.15,G06062;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
69672493,77.395,24.3241,9.64,G06032
76032342,86.0686,28.7915,13.18,G06032
76798849,87.5403,24.7747,12.8,G06032
76882795,87.7188,28.8198,13.21,G06032
80611440,86.8436,25.626,11.24,G06032
127229631,84.98,14.303,13.04,G06032
