TICID,RA,Dec,Tmag,Keywords
88725336,342.5796,15.08,11.77,G05112;20SECONDTARGET
91170269,343.4853,16.4563,11.4,G05112;20SECONDTARGET
91172232,343.5607,16.4406,11.13,G05112;20SECONDTARGET
91173035,343.5761,15.1617,11.59,G05112;20SECONDTARGET
91207276,343.8454,14.9179,10.03,G05112;20SECONDTARGET
217709907,345.8404,12.4899,11.25,G05112;20SECONDTARGET
217712239,345.9601,12.1752,11.95,G05112;20SECONDTARGET
217712337,345.9862,12.5983,11.44,G05112;20SECONDTARGET
217777135,346.2189,12.2714,10.45,G05112;20SECONDTARGET
250327544,340.8298,-0.1281,11.94,G05112;20SECONDTARGET
262024359,343.121,0.8284,11.68,G05112;20SECONDTARGET
262024379,343.0662,0.767,10.89,G05112;20SECONDTARGET
272122712,338.3405,5.4565,11.82,G05112;20SECONDTARGET
293116565,338.6493,5.4596,9.47,G05112;20SECONDTARGET
311519347,343.7535,1.2994,11.95,G05112;20SECONDTARGET
311550486,343.9224,1.3763,11.06,G05112;20SECONDTARGET
318481064,340.4343,0.1542,11.97,G05112;20SECONDTARGET
318481098,340.5155,0.2662,11.77,G05112;20SECONDTARGET
318513552,340.4116,4.0657,11.56,G05112;20SECONDTARGET
318513589,340.4984,4.1516,11.29,G05112;20SECONDTARGET
322186842,340.1102,12.0154,11.92,G05112;20SECONDTARGET
322187022,340.3919,11.5547,11.79,G05112;20SECONDTARGET
344106549,345.636,8.3615,11.41,G05112;20SECONDTARGET
344162223,346.0656,9.1948,11.76,G05112;20SECONDTARGET
344162413,346.1358,8.4966,10.55,G05112;20SECONDTARGET
344164744,346.224,11.8066,11.95,G05112;20SECONDTARGET
344193098,346.4305,8.746,11.01,G05112;20SECONDTARGET
405155333,346.3497,8.6381,11.14,G05112;20SECONDTARGET
415889547,336.3317,8.9399,11.82,G05112;20SECONDTARGET
415889620,336.3347,9.1548,11.66,G05112;20SECONDTARGET
415904833,336.4575,8.9834,11.75,G05112;20SECONDTARGET
415931748,338.8686,8.971,11.2,G05112;20SECONDTARGET
419796150,336.5868,8.9337,11.41,G05112;20SECONDTARGET
419812352,336.7287,8.8104,10.57,G05112;20SECONDTARGET
419843710,337.4043,10.7032,11.38,G05112;20SECONDTARGET
421991455,340.0614,0.6723,11.76,G05112;20SECONDTARGET
421991502,340.0829,0.4679,11.64,G05112;20SECONDTARGET
421994714,340.5821,0.5957,11.4,G05112;20SECONDTARGET
421994720,340.5863,0.5855,11.52,G05112;20SECONDTARGET
421996148,340.7509,4.5688,11.89,G05112;20SECONDTARGET
421996926,340.8226,4.6437,11.93,G05112;20SECONDTARGET
421997034,340.8725,4.3327,10.17,G05112;20SECONDTARGET
422033628,340.9299,4.3036,11.94,G05112;20SECONDTARGET
422034711,341.1163,4.1268,11.8,G05112;20SECONDTARGET
422035581,341.0418,0.9813,11.84,G05112;20SECONDTARGET
422036855,341.2143,3.7617,11.54,G05112;20SECONDTARGET
422045478,341.2608,0.5354,11.25,G05112;20SECONDTARGET
422061934,341.8453,1.7774,10.39,G05112;20SECONDTARGET
422074196,341.9695,0.6714,11.25,G05112;20SECONDTARGET
422077019,342.0483,1.5353,10.78,G05112;20SECONDTARGET
422077171,342.0743,1.0106,11.58,G05112;20SECONDTARGET
422081262,342.426,1.6883,11.53,G05112;20SECONDTARGET
422113998,342.7277,0.86,11.7,G05112;20SECONDTARGET
422412267,339.4827,0.568,11.03,G05112;20SECONDTARGET
422420515,339.6251,0.6334,11.34,G05112;20SECONDTARGET
422424130,339.8302,1.1758,10.96,G05112;20SECONDTARGET
422721978,339.9016,11.354,9.72,G05112;20SECONDTARGET
422722002,339.8404,11.2796,10.92,G05112;20SECONDTARGET
2053316904,357.8349,13.0753,11.91,G05112;20SECONDTARGET
268264180,354.0749,15.9918,11.35,G05112;20SECONDTARGET
268265444,354.1899,15.8985,11.61,G05112;20SECONDTARGET
301986627,356.586,15.7468,11.95,G05112;20SECONDTARGET
301986663,356.6316,15.6371,11.96,G05112;20SECONDTARGET
302018418,356.743,15.5785,11.78,G05112;20SECONDTARGET
302018430,356.7742,15.6188,11.88,G05112;20SECONDTARGET
302018509,356.753,15.8793,9.64,G05112;20SECONDTARGET
302019893,356.8961,15.0661,11.67,G05112;20SECONDTARGET
302019894,356.8969,15.0658,11.62,G05112;20SECONDTARGET
302019908,356.8174,15.0133,11.66,G05112;20SECONDTARGET
302033414,357.0202,14.7469,11.96,G05112;20SECONDTARGET
302033700,356.9274,15.7369,11.63,G05112;20SECONDTARGET
302035303,357.034,14.4787,9.01,G05112;20SECONDTARGET
302036609,357.2091,14.4622,11.67,G05112;20SECONDTARGET
302044745,357.3404,15.0086,11.83,G05112;20SECONDTARGET
302045000,357.3884,14.412,11.46,G05112;20SECONDTARGET
302048086,357.5067,16.5611,11.83,G05112;20SECONDTARGET
302103081,357.7664,15.6988,10.99,G05112;20SECONDTARGET
302103100,357.7028,15.7507,11.78,G05112;20SECONDTARGET
302104084,357.8047,16.5093,11.47,G05112;20SECONDTARGET
302110394,357.8353,13.0759,10.07,G05112;20SECONDTARGET
302111716,357.969,16.1877,11.85,G05112;20SECONDTARGET
302126716,358.2587,13.8447,11.5,G05112;20SECONDTARGET
302126738,358.1515,13.9398,11.97,G05112;20SECONDTARGET
302129549,358.4901,13.2707,11.7,G05112;20SECONDTARGET
302129710,358.436,13.951,8.94,G05112;20SECONDTARGET
302170996,358.465,15.6242,11.74,G05112;20SECONDTARGET
336536497,354.6585,14.4755,11.81,G05112;20SECONDTARGET
336551224,354.8684,13.7467,11.62,G05112;20SECONDTARGET
354204699,349.8142,8.1454,11.11,G05112;20SECONDTARGET
354212080,350.3647,8.39,11.35,G05112;20SECONDTARGET
354266304,350.898,8.1047,11.88,G05112;20SECONDTARGET
354281018,351.0784,8.4411,11.42,G05112;20SECONDTARGET
354304913,351.3481,8.5351,11.9,G05112;20SECONDTARGET
402375574,349.2844,11.6165,11.28,G05112;20SECONDTARGET
405173452,348.5805,11.8408,11.89,G05112;20SECONDTARGET
411473574,358.9491,13.4103,11.18,G05112;20SECONDTARGET
423301569,349.5668,11.3369,11.56,G05112;20SECONDTARGET
423316408,352.5621,9.6277,11.87,G05112;20SECONDTARGET
423329549,353.1639,8.9125,11.77,G05112;20SECONDTARGET
423329597,353.1906,8.7089,11.97,G05112;20SECONDTARGET
423330783,353.2058,8.9543,9.27,G05112;20SECONDTARGET
426955385,354.4515,15.792,11.86,G05112;20SECONDTARGET
434112206,355.1413,15.2415,10.33,G05112;20SECONDTARGET
434112253,355.1634,15.4912,11.16,G05112;20SECONDTARGET
434113784,355.1888,13.8477,11.81,G05112;20SECONDTARGET
434114507,355.3317,13.5078,11.98,G05112;20SECONDTARGET
434115050,355.3671,15.8401,11.65,G05112;20SECONDTARGET
434116397,355.4682,14.1067,10.32,G05112;20SECONDTARGET
434117267,355.5428,13.7828,11.74,G05112;20SECONDTARGET
434118947,355.7076,15.3584,11.41,G05112;20SECONDTARGET
434124525,356.1942,15.9682,11.99,G05112;20SECONDTARGET
434126337,356.3324,16.1337,10.94,G05112;20SECONDTARGET
