# TESS Program G04138

Title: Long-Period Transit Follow-Up Of Kepler M-Dwarfs & Friends

PI: Safron, Emily - Louisiana State University

Type: SMALL

Summary: Planet Hunters (PH) and PH TESS have proven successful at crowd-sourcing visual inspection of Kepler and TESS light curves to detect long-period exoplanet (LPE) candidates that would be invisible to traditional automated searches. With PH classification of all Kepler M-dwarf light curves completed, we seek 2-minute cadence TESS observations of 4110 of these targets and 62 other known LPE candidate hosts in the Kepler field to create light curves to be injected into the PH TESS interface. With a specialized pipeline that includes an injection/recovery study, we will 1) identify new LPE candidates, 2) refine properties of previously reported candidates in the sample, and 3) constrain the occurrence rates of LPEs around M-dwarfs with a unique methodology.


# Sector 040 targets observed (2 min: 800, 20 s: 0)
137818295,292.8048,37.5519,14.71,G04138
137891728,292.8451,38.0756,13.81,G04138
137974983,292.9785,38.6706,13.99,G04138
137975931,293.0911,38.3521,14.76,G04138
137978444,293.0541,37.5589,14.58,G04138
138036112,293.2461,37.7172,14.73,G04138
138036867,293.2081,37.9464,15.37,G04138
138153379,293.2844,38.1716,14.66,G04138
138153649,293.2812,38.0822,14.49,G04138;G04242
138366078,293.7741,38.8141,13.27,G04138
138480291,294.0055,38.6645,14.82,G04138
138568463,294.1206,38.246,16.22,G04138
138570417,294.0592,38.8386,14.87,G04138
138646580,294.1991,38.8523,14.98,G04138
138646728,294.2921,38.8067,14.42,G04138
138647223,294.2962,38.6624,14.07,G04138
138647610,294.2059,38.5298,14.35,G04138
138648010,294.1851,38.4057,14.91,G04138
138648204,294.3066,38.3449,13.62,G04138
138807533,294.8188,38.6553,14.23,G04138
138807610,294.8085,38.6375,14.13,G04138
138807781,294.8057,38.5904,13.62,G04138
138888805,294.9498,38.6052,13.72,G04231;G04242;G04138
138889013,294.9359,38.6653,14.9,G04138
138889411,294.9747,38.7692,14.38,G04138
139036128,295.1148,38.7718,14.79,G04138
351052452,291.8408,36.9978,11.77,G04138
351056755,291.8593,37.8965,12.79,G04138
351058836,291.7947,38.3419,14.29,G04138
351059646,291.8978,38.5018,15.19,G04138
377872617,294.4499,38.6305,15.88,G04138
377872655,294.3548,38.6399,14.35,G04138
378014375,294.5458,38.268,15.23,G04138
378083644,294.633,38.5856,14.48,G04138
378084142,294.7027,38.7636,14.15,G04138
378084245,294.7419,38.7967,14.86,G04138
394179624,289.7811,38.2281,14.78,G04138
394246476,289.7457,38.2065,13.19,G04138
267673059,289.9322,51.3159,15.27,G04138
267673950,289.8476,52.0754,13.54,G04138
267673989,289.9434,52.1096,15.46,G04138
267744581,290.0475,52.3629,14.8,G04138
267745193,290.1117,51.7996,14.51,G04138
267745414,290.1388,51.6001,14.63,G04138
267745434,290.0752,51.5725,15.46,G04138
267745783,290.0797,51.2727,14.55,G04138
27398614,295.0947,51.0533,14.9,G04138
27454242,295.3432,51.0743,13.15,G04138
27534198,295.6011,51.0416,13.18,G04138
27639064,295.6624,51.1431,14.78,G04138
27686925,295.9836,51.1338,13.88,G04138
27695025,296.0479,51.3858,15.72,G04138
27695097,296.1742,51.3389,14.77,G04138
27695111,296.0491,51.3275,14.28,G04138
27695676,296.1124,51.0169,14.67,G04138
27778135,296.2688,51.0709,14.52,G04138
27778236,296.2177,51.1295,14.79,G04138
27778260,296.2828,51.1446,14.62,G04138
27843891,296.4075,51.252,14.77,G04138
290005023,290.5777,52.0203,15.6,G04138
290005553,290.6355,51.4739,14.61,G04138
298787447,287.7842,51.3307,13.72,G04138
298833418,287.9588,51.5387,14.56,G04138
298833773,287.8713,51.185,14.65,G04138
298833783,287.9436,51.1766,14.29,G04138
298897949,288.1694,51.3821,13.0,G04138
298898102,288.056,51.5279,14.94,G04138
298961502,288.2679,51.6149,15.8,G04138
298961665,288.2871,51.4617,13.06,G04138
298961731,288.2792,51.4004,14.93,G04138
298961861,288.2629,51.2634,14.35,G04138
298961981,288.3164,51.1555,15.07,G04138
298970134,288.4127,51.4303,14.71,G04138
298970381,288.3823,51.6861,14.16,G04138
298970516,288.5057,51.8191,14.52,G04138
299028324,288.5902,51.7298,14.77,G04138
299028372,288.7189,51.6868,14.59,G04138
299028423,288.7104,51.6464,15.23,G04138
299028601,288.6976,51.4778,14.55,G04138
299028627,288.6095,51.4545,16.53,G04138
299028894,288.6614,51.2024,15.6,G04138
299089587,288.8744,51.1543,14.76,G04138
299089987,288.7472,51.4986,14.79,G04138
299090106,288.8852,51.6042,14.76,G04138
299090334,288.7538,51.8038,14.83,G04138
299090396,288.8828,51.8709,15.2,G04138
299095963,289.0445,51.9329,15.09,G04138
299096316,289.0335,51.7729,14.87,G04138
299097505,289.0535,51.3195,14.19,G04138
299097784,288.984,51.2132,14.05,G04138
299161094,289.1939,51.3528,14.02,G04138;G04209
299161155,289.2098,51.4053,13.88,G04138
299217066,289.4535,52.0727,15.65,G04138
299217296,289.4352,51.8615,14.66,G04138
299217337,289.4122,51.8286,13.37,G04138
299217519,289.4564,51.6579,14.12,G04138
299217701,289.4023,51.4849,13.9,G04138
299217795,289.3611,51.4126,16.21,G04138
299217909,289.4095,51.3093,14.67,G04138
299217940,289.4062,51.2847,14.3,G04138
350737833,291.2405,51.4186,14.34,G04138
350737997,291.1845,51.2833,15.44,G04138
350738080,291.1416,51.2162,15.31,G04138
350738114,291.1862,51.1911,14.43,G04138
350738154,291.1477,51.1608,14.92,G04138
350738167,291.2013,51.1442,12.79,G04138
350738203,291.1147,51.11,14.25,G04138
350738216,291.1805,51.0983,14.57,G04138
350738245,291.1015,51.08,14.94,G04138
399866327,286.9984,51.0691,15.68,G04138
399866339,287.1039,51.0519,12.47,G04138
399915616,287.1771,51.2115,14.84,G04138
399949551,287.3332,51.2485,15.15,G04138
399956061,287.5299,51.3367,15.18,G04138
399956072,287.5493,51.3477,14.53,G04138
406951649,290.351,51.2688,14.71,G04138
406952118,290.3043,51.7171,13.33,G04138
406952272,290.2996,51.8799,15.06,G04138
406997788,290.4357,52.1781,14.28,G04138
406998115,290.471,51.8801,14.71,G04138
416267650,289.4745,51.9626,14.82,G04138
416279872,289.7118,51.9983,14.98,G04138
416279878,289.7967,51.995,14.83,G04138
416280764,289.6964,51.1861,14.13,G04138
416280821,289.7639,51.1341,14.42,G04138
417655942,290.8396,51.1181,14.25,G04138
417679201,291.0673,51.3358,14.38,G04138
120044687,283.8664,39.8982,14.4,G04242;G04138
120106078,284.2389,41.8184,13.74,G04242;G04138
120107519,284.1972,40.6405,12.31,G04242;G04138
120257064,284.5,39.0827,13.96,G04138
120314783,284.6204,38.9694,14.51,G04138
120314847,284.7015,39.0126,14.97,G04138
120355425,284.8616,39.1933,12.94,G04138
120355647,284.8103,39.0373,15.99,G04138
120355680,284.7697,39.0131,14.32,G04138
120355848,284.7689,38.8966,15.0,G04138
120416403,285.0245,38.8402,16.59,G04138
120416462,284.9007,38.8849,14.45,G04138
120416487,284.8961,38.901,14.52,G04138
120417046,284.9828,39.2323,14.52,G04138
120418600,285.0131,40.221,13.32,G04242;G04138
120424807,285.0922,39.376,14.52,G04138
120424979,285.077,39.2613,13.94,G04138
120425072,285.1272,39.2014,15.09,G04138
120425281,285.0569,39.0744,14.39,G04138
120425419,285.0551,38.985,14.09,G04138
120498819,285.3847,39.4848,16.08,G04138
120499097,285.3999,39.3128,14.44,G04138
120499404,285.4238,39.109,16.0,G04138
120499866,285.4679,38.7988,15.01,G04138
120572916,285.5279,39.0199,15.41,G04138
120573139,285.5154,39.1594,14.88,G04138
120573288,285.4894,39.2595,16.18,G04138
120573562,285.5332,39.4334,14.86,G04138
120573653,285.5524,39.491,14.03,G04138
120573936,285.5741,39.6697,15.07,G04138
120578712,285.7397,40.9798,14.96,G04242;G04138
120627384,285.745,39.4479,17.68,G04138
120628581,285.7248,38.6816,14.53,G04138
120683378,285.9345,38.8596,14.65,G04138
120684530,285.9052,39.6313,14.79,G04138
120684614,285.8991,39.6905,14.98,G04138
120684685,285.843,39.7359,15.73,G04138
120691771,285.9542,39.2892,14.6,G04138
120692011,286.0746,39.1421,15.32,G04138
120692014,285.9429,39.1403,15.96,G04138
120692625,285.9984,38.7497,15.82,G04138
120764763,286.16,39.0151,15.17,G04138
120764972,286.1726,39.1451,15.51,G04138
120765394,286.1463,39.4215,14.44,G04138
120822339,286.3699,39.3025,16.0,G04138
120822382,286.3631,39.2735,14.72,G04138
120822391,286.2484,39.2681,12.09,G04138
120823060,286.2507,38.8233,14.94,G04138
120823148,286.2391,38.7744,14.64,G04138
120892830,286.3776,38.8872,12.83,G04138
120960842,286.6427,39.4633,13.96,G04138
120961086,286.533,39.3052,15.46,G04138
120961837,286.6747,38.8134,14.11,G04138
120972495,286.8129,38.7879,14.72,G04138
120972546,286.7558,38.8125,15.57,G04138
120972825,286.7226,39.0046,15.5,G04138
121012166,286.7664,39.4456,14.86,G04138
121019673,286.9537,39.4967,14.72,G04138
121020458,286.9486,39.0308,13.45,G04138
121020549,286.8798,38.9708,15.03,G04138
121020848,286.9234,38.7968,15.19,G04138
121085508,287.0453,38.8904,15.48,G04138
121085705,287.0715,39.0052,15.68,G04138
121085733,287.026,39.0293,15.66,G04138
121085753,287.0726,39.0429,14.68,G04138
121085991,287.0792,39.2128,14.74,G04138
121085995,287.0851,39.2147,15.19,G04138
121086254,286.9954,39.3804,15.83,G04138
121123349,287.2645,38.8641,14.24,G04138
121214643,287.3674,38.9854,13.75,G04138
121215155,287.3223,39.2818,12.55,G04138
121274882,287.4293,39.2664,14.88,G04138
121275439,287.4984,38.9269,15.76,G04138
121275701,287.5034,38.779,14.93,G04138
121326640,287.6687,38.9183,14.01,G04209;G04138
121326918,287.5859,39.0811,14.71,G04138
121327185,287.7239,39.2428,16.08,G04138
121393512,287.8038,39.3721,13.56,G04138
121393523,287.8209,39.3668,15.37,G04138
121394162,287.7635,38.994,15.95,G04138
121394390,287.7493,38.862,15.02,G04138
121458428,287.8796,39.2002,14.27,G04138
121547712,288.2554,38.995,16.05,G04138
121597683,288.2201,39.924,15.77,G04138
121604439,288.3912,39.8727,14.77,G04138
121604520,288.3651,39.8291,13.26,G04138
121658323,288.5633,39.5416,15.45,G04138
121658360,288.6162,39.5585,14.57,G04138
121734283,288.6907,39.6614,13.44,G04138
121734613,288.7514,39.4964,13.42,G04138
121785583,288.8687,39.4963,14.0,G04138
121792151,288.8885,41.2469,13.29,G04242;G04138
121796770,288.9916,41.2231,12.27,G04231;G04138
121867247,289.0539,39.2382,13.0,G04138
121939014,289.1232,38.9181,15.72,G04138
121939798,289.0894,39.3065,14.15,G04138
121942174,289.1365,40.6129,14.21,G04219;G04138
121989108,289.3408,39.0339,13.32,G04138
122065885,289.3765,41.1579,15.03,G04242;G04138
122519886,290.7159,39.0001,15.13,G04138
122594997,290.6581,39.7023,14.99,G04138
122603440,290.8465,39.9242,14.17,G04138
