# TESS Program G04209

Title: Transiting Planets In Binaries Containing White Dwarfs

PI: Martin, David - Ohio State University

Type: SMALL

Summary: Exoplanet searches have typically focused on main sequence stars. Direct imaging has probed young planets, but what about the other extreme: planets around highly evolved stars? Only one planet has been found transiting a white dwarf. Searches have avoided binary stars due to fear of a diluted signal. However, secular interactions with a binary companion may be the only way of obtaining a short period planet around a white dwarf. We have carefully constructed a sample of white dwarfs in binaries, for which we have a planet-finding sensitivity on either the white dwarf or its main sequence companion. We predict roughly 5 discoveries in 3500 binaries. Any individual discovery with bear significance, and we will interpret our results in the context of planetary dynamics and stellar evolution.


# Sector 040 targets observed (2 min: 1099, 20 s: 38)
232650581,281.9298,54.6516,12.44,G04209
233155407,274.7356,60.8792,10.98,G04209
233533428,280.4538,61.1469,13.77,G04209
233540634,281.2036,60.5044,14.61,G04209
233546325,281.3793,60.4903,10.58,G04209
233579425,282.3335,60.076,11.54,G04209;G04191
233619917,283.8312,60.9234,9.64,G04209;G04103
233724227,276.5396,60.2038,16.23,G04209
26410457,291.2889,53.2385,14.09,G04209
267574639,284.423,53.8556,10.98,G04209
27076023,294.0168,52.6477,10.82,G04219;G04234;G04209
275690559,286.7064,61.0976,8.91,G04051;G04209;G04191
27690735,295.9612,53.6286,14.29,G04209
284360217,288.0339,56.4649,14.02,G04209
284363569,290.6796,55.0228,10.83,G04209
284463423,290.9367,54.9386,12.64,G04209
284481740,291.4126,57.5386,12.68,G04209
284557712,291.3955,56.1718,10.86,G04209
284558050,291.2822,55.806,10.6,G04209
287128484,294.8104,57.0113,12.97,G04219;G04209
287259816,292.8521,57.0721,15.26,G04200;G04137;G04036;G04209;20SECONDTARGET
287259821,292.8517,57.0704,16.42,G04137;G04036;G04209;20SECONDTARGET
287262144,292.7869,54.9235,13.58,G04209
293807524,295.8491,57.6529,10.83,G04209
299025265,288.5159,53.0228,10.5,G04209
299028231,288.5859,51.8249,11.26,G04209
299161094,289.1939,51.3528,14.02,G04138;G04209
359634366,280.8155,55.1753,11.24,G04209
359677493,280.9589,58.7638,14.96,G04209
376996854,284.698,57.7864,8.87,G04209;G04103
376996995,284.821,57.5644,12.43,G04209
376997810,284.6922,57.0337,12.99,G04219;G04209
377297463,286.8775,54.4488,13.42,G04209
389969102,277.3522,57.1877,10.92,G04209
392568112,280.404,54.8361,14.4,G04209
399823261,286.6848,52.7922,12.36,G04209
400429135,295.4773,59.056,9.39,G04209
400430150,295.4927,58.0458,11.51,G04219;G04209
405714175,286.1011,53.7879,12.66,G04209
406888049,287.4019,54.1228,9.32,G04209
406925601,287.5011,55.7622,13.58,G04219;G04209
421371691,296.9217,57.3159,11.49,G04209
424635194,294.1162,54.5924,12.46,G04209
424699808,294.4412,59.0082,15.44,G04137;G04036;G04209;20SECONDTARGET
424699815,294.4347,59.0022,16.44,G04137;G04200;G04036;G04209;20SECONDTARGET
424704566,294.3539,54.263,11.61,G04209
471016083,278.4346,50.8407,14.75,G04209
48356677,283.7231,51.3088,7.42,G04171;G04209;G04103
1270998542,258.3848,49.6307,18.83,G04209
1271014938,257.4221,51.0872,19.9,G04209
1271016606,257.5864,51.5716,18.19,G04209
1271017549,257.8494,51.5363,20.03,G04209
1271022831,259.884,53.1217,19.66,G04209
1271034231,257.8444,53.7243,19.88,G04209
1271042189,256.7963,54.2942,18.29,G04209
1271050471,257.4317,55.3596,18.53,G04209
1271053805,259.9084,55.6176,19.61,G04209
1271121455,258.5034,57.6153,18.53,G04209
1400481144,263.4629,47.7571,15.76,G04137;G04209;G04036;G04177;20SECONDTARGET
1400519513,269.9829,49.4819,19.13,G04209
1400563482,261.7422,47.8922,19.36,G04209
1400576315,260.8034,48.3904,19.69,G04209
1400671660,261.7729,51.9883,16.41,G04209;G04177
1400690439,265.1722,52.8193,18.73,G04209
1400696447,265.1006,53.3357,18.28,G04209
1400711634,267.8006,54.6983,18.12,G04200;G04209
1400719891,264.3132,54.1091,17.92,G04209;G04177
1400721577,265.6463,54.3709,19.36,G04209
1400723791,266.0989,54.9992,18.15,G04209
1400733644,266.7413,55.1508,16.55,G04137;G04036;G04209;20SECONDTARGET
1400766138,262.4083,54.8483,20.3,G04209
1400807466,265.5436,58.556,19.27,G04209
1400837402,263.4468,58.7822,19.68,G04209
1400841669,262.975,58.7318,20.15,G04209
1551083381,270.5922,50.6009,19.18,G04209
1551113921,275.3334,50.5626,18.83,G04209
1551163316,272.2598,52.6583,19.63,G04209
1551168081,270.7569,52.6502,19.66,G04209
1551269090,275.2181,52.7232,19.37,G04209
1551305640,272.0292,54.0065,19.42,G04209
1551307366,272.8583,54.2989,18.52,G04209
1551321491,272.8994,54.7024,18.21,G04209
1551334809,270.0903,56.3522,20.73,G04209
1551392693,270.5773,57.3085,17.42,G04137;G04209
1551396057,271.6542,58.1999,19.98,G04209
1551399512,273.1245,57.8327,18.41,G04209
1551407126,272.8932,59.3511,20.2,G04209
1551414346,270.9646,59.3472,18.37,G04209
1551416286,270.2094,60.2868,19.71,G04209
1551489632,270.4571,60.9188,18.15,G04209
165499752,265.6482,54.3714,11.31,G04219;G04209;G04191
165528287,266.0678,54.9964,12.49,G04209
165552714,266.7424,55.1475,8.88,G04191;G04209
188665494,259.8875,53.1226,9.3,G04209
188726802,260.8018,48.3906,14.59,G04209
188776067,261.7747,51.9874,9.18,G04209
198363235,256.794,54.2945,10.36,G04209;G04191
198381745,257.4197,55.3644,15.27,G04209
198391810,258.5034,57.6147,13.67,G04209
229684139,262.4103,54.8431,12.36,G04209
229688109,262.9794,58.7306,12.38,G04209
230239191,261.7412,47.8937,11.61,G04209
233066661,270.2102,60.2836,14.08,G04209
233067327,270.4592,60.9193,12.08,G04209
233509365,270.5836,50.5975,11.21,G04209
233512925,270.7588,52.648,13.0,G04209
270362205,263.4623,47.7563,12.03,G04209
298552506,265.0963,53.3352,7.8,G04209;G04103
298647429,272.258,52.6565,12.3,G04209
320498877,264.3145,54.1098,13.13,G04209
329348522,269.9829,49.4828,13.99,G04209;G04036;20SECONDTARGET
332477469,265.5434,58.5546,13.46,G04209
335915908,265.1734,52.8186,14.58,G04209
341840776,267.8249,54.7224,15.87,G04209
353819174,270.5801,57.3114,11.69,G04178;G04209
353895752,271.6727,58.2021,9.33,G04051;G04209
353934083,272.0274,54.0058,13.38,G04209
356891194,272.8567,54.2986,10.63,G04209
356891370,272.92,54.6978,12.16,G04209
356893585,272.9029,59.3493,12.87,G04209
356894839,273.1352,57.8186,14.25,G04209;G04178
356920361,273.6706,56.5884,6.31,G04171;G04209
357527236,270.0944,56.3513,14.38,G04209
362078066,258.3807,49.631,11.14,G04209;G04191
362131782,270.9454,59.3426,11.86,G04209
362215490,275.302,50.5652,8.54,G04209;G04191
362216875,275.2163,52.7257,14.68,G04209
367780555,257.4207,51.087,12.42,G04209
367783285,257.5881,51.5733,13.66,G04209
367811142,257.8468,53.7266,12.4,G04209
367811895,257.8482,51.536,14.82,G04209
423025131,263.4513,58.7793,8.88,G04209
462619665,259.9079,55.617,12.2,G04209
115966497,265.9506,39.7048,10.32,G04209
116049871,266.6319,40.988,11.93,G04209
116246473,267.7929,40.593,13.46,G04209
122886468,278.2294,42.7178,12.4,G04209
122949861,278.4047,43.5983,15.88,G04209
1400151144,265.3039,39.4139,19.49,G04209
1400152184,265.953,39.7006,19.53,G04209
1400206223,267.793,40.5913,19.56,G04209
1400216056,266.6291,40.9901,18.4,G04209
1400219973,269.2296,41.0507,18.83,G04209
1400224559,269.3614,41.3721,18.6,G04209
1400456049,262.8573,45.329,18.28,G04209
1400495181,265.0452,47.0099,20.0,G04209
1400502378,267.9468,47.3589,19.33,G04209
1508598868,269.3612,40.382,19.36,G04209
1550325474,276.2737,37.8774,17.62,G04209
1550423881,276.333,39.8609,17.73,G04137;G04200;G04209
1550443678,276.1706,40.9714,19.49,G04209
1550451930,278.4812,39.1402,19.61,G04209
1550469551,278.7165,40.3992,19.54,G04209
1550563252,278.2306,42.7174,18.61,G04209
1550572295,278.4001,43.5945,18.28,G04209
1550618840,272.8641,40.4036,19.5,G04209
1550671721,271.4675,42.4509,19.14,G04209
1550676268,270.2988,41.833,17.91,G04209
1550683857,270.4378,42.8591,17.69,G04209
1550734860,272.9683,43.9549,19.5,G04209
1550753118,275.8251,45.0704,17.86,G04209
1550879840,277.4268,45.734,19.32,G04209
1550905501,277.1817,46.7543,18.9,G04209
1551010781,273.3401,47.3511,17.1,G04137;G04209;G04177
1551011813,273.8691,47.666,18.16,G04209
1551036765,273.7918,48.8735,17.36,G04137;G04209
157518589,265.3016,39.4163,16.19,G04209
159850616,269.2282,41.0512,10.04,G04209
159890511,269.3635,40.3816,10.8,G04209
159891176,269.328,41.4333,14.5,G04209
159977054,270.0708,40.6294,14.61,G04209
164321030,265.0457,47.0083,12.74,G04209
1688051030,271.917,38.1959,18.41,G04209
1688060207,270.9796,38.4908,19.09,G04209
1688084294,270.0709,40.6306,19.38,G04209
193729285,267.947,47.3595,12.33,G04209
193882812,270.4735,42.8329,11.46,G04209
198613806,271.4684,42.4505,12.25,G04209
235594330,270.2999,41.8328,12.01,G04209
270282140,262.8353,45.3491,10.22,G04209;G04191
288755422,276.1712,40.97,15.82,G04209
288844347,276.2741,37.8793,13.56,G04219;G04209
288849671,276.4738,39.8233,11.65,G04209
289460602,278.4785,39.1332,11.09,G04209
289527895,278.7181,40.3888,12.61,G04209
357722350,277.1805,46.7548,11.76,G04209
357850321,277.4239,45.7353,13.52,G04209
366120911,273.7934,48.8726,14.66,G04209
416106967,273.8924,47.5607,7.14,G04209
75722541,270.9774,38.4859,11.14,G04209
75877710,271.9167,38.1974,13.25,G04209
76045121,272.8655,40.4037,10.87,G04209
7676606,272.9687,43.9556,11.99,G04219;G04209
7695147,273.3391,47.3509,14.47,G04036;G04209;20SECONDTARGET
7903477,275.8227,45.0726,9.62,G04209
120251682,284.3697,40.5939,13.52,G04219;G04036;G04209;G04178;20SECONDTARGET
121326640,287.6687,38.9183,14.01,G04209;G04138
121462259,287.9409,41.4955,8.81,G04209
121792257,288.8854,41.2767,10.55,G04209
122448061,290.4912,39.6994,11.91,G04209
123413256,281.9123,46.4868,13.35,G04209;G04138
137411036,292.2039,41.0061,10.73,G04219;G04209
158659037,288.0943,45.1973,11.24,G04209
158929561,289.0535,43.4298,13.6,G04209
159377478,290.2818,43.3744,10.95,G04209
159574962,290.9794,42.2848,12.48,G04209
1716207076,288.8859,41.2749,18.91,G04209
1716234864,287.939,41.5002,18.98,G04209
1716303466,289.0545,43.4302,19.53,G04209
1716386083,283.5898,39.9808,18.75,G04209
1716398518,284.3691,40.5933,15.13,G04137;G04209
1716890871,281.9118,46.4821,19.5,G04209
1716929888,280.6219,48.0792,19.64,G04209
1716972195,288.1046,45.1969,20.21,G04209
1717600472,281.6754,49.1678,19.07,G04209
1881042585,293.9778,43.7365,17.43,G04137;G04200;G04209;G04177
1881658416,295.9049,46.4021,19.39,G04209
1882229516,290.4933,39.7001,18.93,G04209
1882353491,290.9765,42.2861,18.69,G04209
1882378874,290.2828,43.3757,18.58,G04209
237192061,283.5944,39.9853,11.42,G04209
271668882,295.4406,43.7482,7.26,G04059;G04191;G04209
272075837,295.9028,46.4036,13.22,G04209
27685055,295.9323,50.0775,15.06,G04219;G04137;G04200;G04036;G04209;20SECONDTARGET
390131308,282.3921,40.3376,15.01,G04219;G04137;G04209;G04036;20SECONDTARGET
390131313,282.3936,40.3346,13.76,G04209
416265649,289.5753,50.2156,9.03,G04209;G04103
47879575,280.6304,48.0839,9.81,G04209
48028492,281.6731,49.1678,12.69,G04209
1102441603,238.0555,64.8828,18.78,G04209
1102450424,237.4957,65.6915,19.21,G04209
1201195714,248.5831,59.8579,17.81,G04209
1201236958,247.2625,63.1965,19.33,G04209
