# TESS Program G04036

Title: A Search For Transiting Exoplanets In The Habitable Zones Of White Dwarfs

PI: Kunimoto, Michelle - Massachusetts Institute Of Technology

Type: SMALL

Summary: White dwarfs are intriguing targets for the search and characterization of habitable exoplanets. Rocky planets in the habitable zones of white dwarfs should be exceptional targets for follow-up atmospheric characterization, and their existence would have important implications for planetary survival and evolution through the post-main sequence lifetime of the star. However, their short transit durations of only a few minutes necessitate high-speed observations. By observing more than 2500 white dwarfs visible in Cycle 4 of the TESS mission at 20-second cadence, we will be able to identify small planets and remnants of planetary systems around white dwarfs, and substantially improve understanding of white dwarf exoplanet demographics.


# Sector 040 targets observed (2 min: 373, 20 s: 373)
329348522,269.9829,49.4828,13.99,G04209;G04036;20SECONDTARGET
335949911,265.3945,49.5442,16.6,G04036;20SECONDTARGET
335953590,265.6798,50.0491,16.82,G04137;G04200;G04036;20SECONDTARGET
335963647,265.7295,51.6018,15.71,G04137;G04036;20SECONDTARGET
356309904,268.0038,50.6315,16.2,G04137;G04200;G04036;20SECONDTARGET
356916003,273.4114,54.821,16.5,G04036;20SECONDTARGET
362079839,263.897,53.7708,16.64,G04137;G04200;G04036;20SECONDTARGET
471015213,266.475,60.7033,15.7,G04036;20SECONDTARGET
116049212,266.7137,39.8832,16.54,G04137;G04200;G04036;20SECONDTARGET
116263538,267.9407,38.3378,15.6,G04200;G04137;G04036;G04177;20SECONDTARGET
1508597251,268.9807,39.9785,16.99,G04137;G04200;G04036;20SECONDTARGET
1550405114,274.2073,39.0973,16.92,G04137;G04200;G04036;20SECONDTARGET
1550810440,271.8324,47.1646,16.77,G04137;G04200;G04036;20SECONDTARGET
1550869509,277.2014,44.6272,16.89,G04137;G04200;G04036;20SECONDTARGET
157444846,264.6483,41.8764,15.52,G04200;G04137;G04036;20SECONDTARGET
159819681,268.8481,36.6572,16.46,G04137;G04200;G04036;20SECONDTARGET
159850732,269.2681,40.8823,16.96,G04036;20SECONDTARGET
