# TESS Program G04132

Title: Probing Impulsive Events In Huge Flares At High Cadence

PI: Howard, Ward - University Of North Carolina

Type: SMALL

Summary: Megaflares, stellar flares of 10^35 erg, are among the largest and rarest flares emitted by M-dwarfs. They may fully dissociate Earth-like atmospheres in single events. It is currently unknown how their energy is released as a function of time, especially in the UV. We propose 20 s cadence observations of a large sample of megaflares from active stars across the sky to measure their impulsive emission profiles, coupled with simultaneous ground-based observations of a subset of events to measure flare temperature and constrain UV emission. This will be the first statistically-robust survey of megaflares at high cadence.


# Sector 040 targets observed (2 min: 56, 20 s: 56)
422653412,29.0629,0.102,11.03,G04132;G04139;G04240;G04236;G04186;G04039;20SECONDTARGET
422677299,29.8032,3.5194,9.45,G04132;G04240;G04234;20SECONDTARGET
422692635,30.446,1.2847,10.7,G04132;G04240;G04236;G04060;20SECONDTARGET
247020601,38.8436,23.5747,11.12,G04132;G04039;G04191;20SECONDTARGET
407999987,61.5791,11.1248,11.24,G04132;20SECONDTARGET
405415381,51.8091,27.3854,9.89,G04132;G04188;G04234;G04006;20SECONDTARGET
641007224,49.3463,26.3156,11.34,G04132;G04234;20SECONDTARGET

# Sector 043 targets observed (2 min: 23, 20 s: 23)
422653412,29.0629,0.102,11.03,G04132;G04139;G04240;G04236;G04186;G04039;20SECONDTARGET
247020601,38.8436,23.5747,11.12,G04132;G04039;G04191;20SECONDTARGET
419942387,30.7165,4.7832,10.55,G04132;G04214;G04186;G04234;G04039;G04191;20SECONDTARGET
420031513,35.5961,5.2842,11.59,G04132;G04234;G04039;20SECONDTARGET
422677299,29.8032,3.5194,9.45,G04132;G04240;G04234;20SECONDTARGET
422692635,30.446,1.2847,10.7,G04132;G04240;G04236;G04060;20SECONDTARGET
405415381,51.8091,27.3854,9.89,G04132;G04188;G04234;G04006;20SECONDTARGET
641007224,49.3463,26.3156,11.34,G04132;G04234;20SECONDTARGET
407999987,61.5791,11.1248,11.24,G04132;20SECONDTARGET
245948074,70.3665,14.076,11.14,G04132;G04139;G04236;G04240;G04039;G04191;20SECONDTARGET
435929135,65.7502,13.3162,11.55,G04132;G04240;G04236;G04142;G04234;G04039;20SECONDTARGET
