# TESS Program G011278

Title: An Accurate Empirical Mass-Radius-Composition Relationship For M-Dwarfs

PI: Turner, Oliver - Universite De Geneve

Type: N/A

Summary: M-dwarfs are enticing targets for exoplanet surveys because the planets in the habitable zones of these stars have comparatively short orbits and are much easier to detect and characterize than planets around more massive stars. However, how well we can know these planets is related to how well we know their host stars. There are few well-characterised M-dwarfs that can be used to establish an empirical relation. As such, investigation of planets orbiting M-dwarfs will be frustrated. The low mass eclipsing binary (EBLM) program has measured the masses and, characterised over 200 binaries composed of F/G+M stars in a consistent manner and so stands to improve the situation. However, require a consistent set of lightcurves to measure their radii and establish such a relation.                


# Sector 001 targets observed (21)
143234741,90.6297,-32.38,11.33,G011278
167671107,79.6937,-39.0545,9.78,G011278
24397947,81.6629,-34.6164,10.71,G011278
161577376,75.137,-46.1893,11.28,G011278;G011242
219201178,92.7234,-52.8963,10.78,G011278
231972938,95.473,-46.2194,12.03,G011278
232030067,96.3169,-43.7865,11.44,G011278
255548311,95.486,-50.9256,11.46,G011278
255565860,96.3567,-51.991,12.73,G011278
343963409,107.3137,-52.9215,12.45,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278
382188882,81.3531,-55.02,10.62,G011278

# Sector 007 targets observed (23)
319011894,112.5083,2.2608,10.62,G011278
66102144,114.9002,-2.3437,11.25,G011278
169770571,120.1704,-7.2102,11.55,G011278
88977253,123.0977,-5.7687,12.3,G011278
452845139,120.3253,2.5691,11.62,G011278
172361463,99.6506,-25.5537,12.23,G011278
172464366,100.1589,-27.5712,11.06,G011278
172742334,101.408,-26.7118,11.7,G011278
173038281,102.275,-27.3494,9.69,G011278
96799506,105.1766,-30.7191,11.4,G011278
437212966,123.7028,-20.9134,11.29,G011278
322900369,101.2064,-17.4335,8.8,G011278
53059882,102.6212,-34.6049,10.07,G011278;G011154
165148663,91.5755,-44.0376,11.65,G011278
219201178,92.7234,-52.8963,10.78,G011278
231972938,95.473,-46.2194,12.03,G011278
232030067,96.3169,-43.7865,11.44,G011278
255548311,95.486,-50.9256,11.46,G011278
255565860,96.3567,-51.991,12.73,G011278
343963409,107.3137,-52.9215,12.45,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278
382188882,81.3531,-55.02,10.62,G011278

# Sector 008 targets observed (21)
96106862,147.206,-8.4935,8.84,G011278;G011250
26273760,153.6876,-7.2258,9.3,G011278
277712294,153.4616,1.991,10.72,G011278
265353588,133.8646,4.8345,8.79,G011278
293844315,141.4744,-3.3056,9.86,G011278
19271382,139.1789,-35.2245,11.63,G011278
25776767,145.3197,-31.8195,10.57,G011278
101395259,148.7203,-23.3321,10.18,G011278
1103432,130.5814,-17.1894,12.77,G011278
289535142,131.5249,-13.2029,12.48,G011278
386262459,127.401,-16.0018,9.18,G011278
405391996,128.7857,-13.7581,9.88,G011278
410094645,133.2589,-22.1982,12.34,G011278
413162396,127.9197,-20.1132,11.27,G011278
437212966,123.7028,-20.9134,11.29,G011278
343963409,107.3137,-52.9215,12.45,G011278
219201178,92.7234,-52.8963,10.78,G011278
255548311,95.486,-50.9256,11.46,G011278
255565860,96.3567,-51.991,12.73,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278

# Sector 009 targets observed (28)
308050066,155.436,-17.2244,9.98,G011278
393837491,158.012,-20.2285,11.51,G011278
19271382,139.1789,-35.2245,11.63,G011278
25776767,145.3197,-31.8195,10.57,G011278
45599777,148.8261,-39.883,12.29,G011278
102195674,154.1917,-42.5591,11.3,G011278
102978235,155.9917,-43.424,11.46,G011278
106470229,159.6019,-37.8383,13.04,G011278
146530594,159.0194,-45.0979,11.74,G011278
