# TESS Program G011154

Title: Eclipsing Binary Stars: Indispensable Astrophysical Laboratories

PI: Prsa, Andrej - Villanova University

Type: N/A

Summary: Eclipsing binary (EB) science has long held renown for delivering accurate measurements of fundamental parameters: masses, radii, luminosities and temperatures. The field witnessed exponential growth in the Kepler era of ultra-high photometric precision, and the impact of TESS will be no less revolutionary. This multi-faceted proposal encapsulates three goals: (1) extract all known EB light curves from Full Frame Images (FFIs); (2) mine FFIs for as-of-yet unknown calibration-quality EBs, where simulations predict a 10-fold increase in the number of known EBs; and (3) acquire 2-min cadence observations for a prioritized list of targets that maximize scientific yield. The proposal discusses hot topics in the EB field and outlines the effort to provide these deliverables to the community.    


# Sector 001 targets observed (230)
12358936,0.4899,-29.1224,11.12,G011154
12359092,0.883,-29.718,9.76,G011230;G011154
12359153,0.8175,-29.3336,10.06,G011154
12377875,1.069,-29.7479,10.22,G011154
12393823,1.2119,-29.633,8.33,G011127;G011154;G011060
12393870,1.398,-29.9518,11.32,G011230;G011154
12418268,1.9093,-29.8416,10.79,G011154
20891744,1.2062,-21.6986,11.02,G011154
254298146,355.0857,-25.502,11.89,G011154
254300725,5.4988,-21.755,11.52,G011154
254301955,5.6033,-23.0219,9.29,G011154
270622446,358.8192,-31.9215,6.2,G011154
313888388,0.0473,-29.8455,10.97,G011154
313933945,0.6636,-29.0752,9.83,G011230;G011154
313934040,0.5863,-29.4927,11.21,G011154
322493523,6.822,-23.6118,11.72,G011154
327996109,1.5718,-29.7063,11.51,G011230;G011154
34036460,358.3346,-28.8777,8.56,G011154
340704073,6.2061,-27.7389,11.79,G011154
65257655,359.0345,-28.5823,9.25,G011154
70744192,0.6479,-30.1172,11.72,G011230;G011154
70744260,0.8411,-30.0196,9.95,G011230;G011154
70744273,0.7351,-30.0791,11.49,G011230;G011154
70744341,0.718,-30.3329,11.21,G011154
70744515,0.8032,-31.2124,8.8,G011154;G011060
70763008,0.864,-30.4469,11.73,G011230;G011154
70763010,0.8544,-30.4351,11.25,G011230;G011154
70763084,0.9591,-30.0655,10.57,G011230;G011154
70763191,1.0002,-30.321,10.62,G011230;G011154
70775467,1.3101,-29.9066,11.53,G011230;G011154
70775504,1.3722,-30.1153,10.7,G011154
70775534,1.3616,-30.2901,9.47,G011154
70785900,1.6196,-30.2969,11.04,G011154
70819690,2.3974,-30.1238,11.17,G011154
188628165,350.3784,-12.8652,11.85,G011154
188630094,350.5857,-15.9391,10.57,G011154
27955204,358.4415,-18.3648,6.5,G011154
402324760,353.7839,-15.8222,11.42,G011154
402339590,354.0372,-16.469,9.92,G011083;G011154;G011048
434097226,352.5077,-11.9089,9.29,G011154
434106760,354.5298,-13.7332,11.05,G011154
49735506,352.6902,-10.5867,11.81,G011154
5738739,348.0402,-13.0489,9.66,G011154
5795305,348.7506,-15.0468,10.35,G011154
89543393,357.7649,-19.0747,11.5,G011154;G011060
8989778,354.8174,-9.1515,10.96,G011154
9054370,356.1622,-8.8488,7.6,G011048;G011154
9070070,356.8264,-8.0867,10.19,G011154
9146275,351.536,-19.3732,8.31,G011048;G011154
188594653,345.5041,-13.096,11.87,G011154
