# TESS Program G06027

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 070 targets observed (2 min: 53, 20 s: 10)
195189828,129.0798,21.3514,17.14,G06027
293254698,118.7716,22.0011,13.27,G06027;G06197;20SECONDTARGET
3645653,127.1538,25.3342,14.34,G06027;20SECONDTARGET
740648429,118.9193,26.7717,16.75,G06027
801379018,130.7665,27.8638,18.74,G06027
801702966,122.1083,31.6904,18.8,G06027
97286251,122.7362,28.1422,13.73,G06027
97362656,123.4668,28.2214,18.11,G06027

# Sector 072 targets observed (2 min: 107, 20 s: 18)
255663492,107.1836,19.8068,18.0,G06027
307947810,99.4167,13.9551,17.04,G06152;G06027
387612744,103.2602,16.6663,16.34,G06027
425144137,105.8218,10.309,14.55,G06175;G06027;20SECONDTARGET
438288647,96.6341,16.273,17.89,G06027;G06168;20SECONDTARGET
438309419,96.8516,16.2249,17.42,G06027;G06168;20SECONDTARGET
718010089,99.684,18.2699,18.38,G06027;20SECONDTARGET
761469654,106.9043,10.8263,18.58,G06168;G06027;20SECONDTARGET
761588370,106.4437,12.2419,18.58,G06027
762373868,102.7386,12.1295,18.52,G06027
762926524,103.0126,16.5627,17.81,G06027
763641929,108.3636,20.9312,18.13,G06027
164878423,104.0325,33.6017,16.89,G06152;G06027
240082127,100.1632,31.1819,17.78,G06027
240122720,101.1431,33.749,13.13,G06057;G06101;G06027;20SECONDTARGET
68580394,103.7264,32.1411,16.1,G06027
69026620,108.0089,32.4448,14.39,G06027;G06175
740812837,107.604,25.5331,19.27,G06152;G06027
740824586,106.2726,26.1359,18.2,G06027
741089398,102.5813,30.0453,18.17,G06027
764302436,101.0505,29.9449,17.12,G06027
86647719,98.0545,25.6062,14.59,G06027
87473721,103.155,24.6061,15.52,G06027
90939259,101.8949,28.106,15.68,G06027
91734151,106.0361,26.4197,16.75,G06027
312474753,88.7167,32.8067,18.0,G06027
3547397,82.9963,30.4458,14.85,G06027
721128427,91.4748,28.557,18.15,G06027
721954365,95.8051,31.891,18.29,G06027
76105391,86.316,25.2971,18.08,G06027
76381942,86.9516,28.5864,15.49,G06027
81189034,91.894,24.1311,18.99,G06027
81806513,92.6833,25.1752,13.94,G06027
82935948,93.933,28.5857,18.41,G06027
238457862,89.584,20.2626,16.58,G06027
247878825,87.9084,16.0935,18.71,G06027
434329100,93.5512,17.0756,16.62,G06027;20SECONDTARGET
434389111,93.8289,15.5164,17.2,G06027
437904996,94.1801,15.4031,15.17,G06027
52591659,84.3116,15.9049,17.13,G06152;G06027
716709606,92.2562,14.1023,18.67,G06152;G06027;G06168;20SECONDTARGET
337646214,131.1129,12.8756,13.88,G06101;G06027;20SECONDTARGET
443854988,121.3937,7.3414,17.29,G06027
800771427,121.2062,16.2735,18.35,G06027
14544042,125.5803,20.3899,15.9,G06049;G06028;G06027;20SECONDTARGET
195189828,129.0798,21.3514,17.14,G06027
3645653,127.1538,25.3342,14.34,G06027;20SECONDTARGET
801282759,131.5713,24.8956,18.34,G06027
801379018,130.7665,27.8638,18.74,G06027
165818951,122.1925,31.5183,17.95,G06152;G06027;G06168;20SECONDTARGET
293254698,118.7716,22.0011,13.27,G06027;G06197;20SECONDTARGET
740427811,115.157,25.6859,17.71,G06027
740648429,118.9193,26.7717,16.75,G06027
740684485,118.1382,29.7276,18.4,G06027
740921545,110.6702,28.5045,18.59,G06027
801702966,122.1083,31.6904,18.8,G06027
94840820,113.4428,26.324,17.67,G06027
95074141,114.5739,28.9221,17.92,G06027
97286251,122.7362,28.1422,13.73,G06027
17745208,117.8221,14.74,13.84,G06027
19028616,119.7208,16.2792,15.37,G06027;20SECONDTARGET
234386436,112.8708,9.9398,14.9,G06150;G06027;G06175;20SECONDTARGET
740011643,118.7819,14.5964,18.64,G06049;G06027
740104390,119.9158,19.2381,17.66,G06027
760463960,117.8208,10.0045,18.31,G06027
761871675,117.7498,14.1972,18.63,G06027
761926252,116.0357,15.6527,17.67,G06152;G06027
762158422,111.6693,16.4469,18.06,G06152;G06027
763147179,109.0748,16.9931,18.32,G06027
763267031,110.1359,17.4102,18.08,G06152;G06027
238609772,137.4605,18.8297,15.33,G06027
437056841,135.2636,17.8989,12.28,G06027
800541435,137.5068,16.8056,18.42,G06027
840126870,143.9061,16.3308,18.66,G06027
840334468,141.2742,25.2096,17.71,G06027
270411819,134.7883,5.6151,17.58,G06027
270581888,136.6177,5.4492,18.11,G06027
311987673,138.9652,9.0137,15.54,G06027
312186246,141.1853,8.0309,18.17,G06027
437059240,135.3063,14.7846,16.03,G06027
55381011,141.233,13.3477,15.26,G06027
800183057,139.9376,8.9527,18.35,G06049;G06027
800189566,137.864,8.6946,18.57,G06027
156838251,147.756,11.8753,14.82,G06027
275134211,143.0218,3.7257,17.45,G06027
349973973,153.8943,9.0783,17.57,G06027
469012828,144.6541,7.2485,16.38,G06027
842333556,153.5894,6.6492,18.16,G06027
27065525,151.7433,23.6233,17.48,G06027
337696171,148.2844,14.9768,17.77,G06027
59627386,146.6436,13.8494,16.95,G06027
70680826,156.0161,14.0069,16.87,G06027
840219845,151.6268,22.4425,18.55,G06027
842455909,152.6479,14.044,17.6,G06027
842480392,157.4016,19.1126,17.98,G06027
364982201,163.9588,9.9389,17.46,G06027
365009217,164.4845,9.3875,14.72,G06027
462537424,170.5546,14.4393,15.95,G06150;G06027;20SECONDTARGET
61285257,160.2135,15.1927,16.52,G06057;G06027
903453082,165.0613,13.2644,18.35,G06027
277798746,155.9487,0.6446,15.86,G06156;G06027;20SECONDTARGET
62845887,159.9458,-5.1163,18.31,G06027
842270790,158.8875,5.8665,18.77,G06049;G06027
82051953,176.3383,-4.4351,15.94,G06027;G06168;20SECONDTARGET
902781109,171.953,-5.7101,18.53,G06027
376813461,180.9305,5.4883,15.36,G06152;G06027
903291016,174.611,6.322,18.41,G06049;G06027

# Sector 073 targets observed (2 min: 107, 20 s: 25)
190180797,98.2054,45.4949,16.5,G06027
190354301,99.4514,44.4863,16.82,G06027
307279356,93.3435,47.7402,13.97,G06027
307442311,93.5409,45.5023,12.22,G06027
