# TESS Program G06194

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Princeton University

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 070 targets observed (2 min: 392, 20 s: 4)
91252218,27.4765,22.9308,10.26,G06194
91305032,27.8844,18.5081,7.78,G06194
91398300,29.0046,18.4449,7.84,G06194
97429443,33.1235,16.7002,7.62,G06194
257958103,31.6644,10.4774,7.23,G06194
270344943,31.7149,2.5123,8.11,G06194
270464383,33.8248,1.8658,9.73,G06194
270465028,33.9469,1.6537,8.71,G06194
293406970,26.2427,4.138,9.67,G06194
293468647,27.1216,2.6279,9.34,G06194
293503456,27.8698,5.8722,8.06,G06194
336981693,31.0008,8.0946,6.71,G06194
337009774,31.9064,8.8464,7.35,G06194
337046898,32.8369,8.5691,5.13,G06194
337076141,33.0065,6.6472,8.49,G06194
347440644,28.5504,9.9501,7.22,G06194
368623694,27.4831,7.2231,6.88,G06194
380958750,35.3422,8.8809,7.62,G06194
380965329,35.7362,8.5454,7.26,G06194
380987746,35.8607,6.6018,8.49,G06194
381024291,36.7732,6.5209,10.73,G06194
419942117,30.7587,3.3596,6.27,G06194
420031868,35.6878,4.9569,8.24,G06194
420032383,35.7297,2.351,9.04,G06194
422653075,28.975,1.8508,5.9,G06194
422675485,29.464,0.7382,9.48,G06194
422679659,30.0397,3.0953,5.34,G06194
422689517,30.4144,1.3431,8.07,G06194
422690313,30.412,3.6839,7.88,G06194
422886430,37.5328,4.6046,7.68,G06194
422912866,38.1632,3.7385,7.78,G06194
423387093,29.0114,-0.8299,9.64,G06194
243189841,45.2223,15.0307,6.81,G06194
257916658,43.5632,13.3302,8.01,G06194
258026108,44.9599,11.9776,8.83,G06194
258806323,39.5037,7.695,5.96,G06194
333625486,48.6338,12.6567,8.68,G06194
345393765,49.6924,7.3932,8.62,G06194
347022031,44.0729,5.9986,8.38,G06194
347571943,45.242,5.2873,7.33,G06194
365232027,45.3556,7.1827,9.42,G06194
365247154,39.6713,6.9457,7.77,G06194
365331279,46.3228,10.3084,8.82,G06194
365337717,46.8309,8.3955,9.01,G06194
365354762,47.1044,10.7957,6.86,G06194
377062124,47.5694,10.1504,10.68,G06194
377062862,47.4857,6.7044,7.52,G06194
381110971,40.3751,9.3812,9.95,G06194
381347800,46.8229,16.0776,8.95,G06194
387465234,42.6257,11.8694,7.72,G06194
387495323,42.8036,8.289,8.1,G06194
387541497,44.0578,8.381,5.53,G06194
408834794,39.1599,12.4471,5.13,G06194
52124889,40.5733,12.8459,8.08,G06194
52176601,41.2598,14.2373,7.38,G06194
118295536,33.9278,25.0427,5.09,G06194
21027611,35.7122,24.0957,8.37,G06194
21132019,36.5127,25.7439,8.44,G06194
22840841,38.8845,26.4393,8.64,G06194
238343101,39.4555,23.1282,7.9,G06194
246934681,34.1122,23.147,8.67,G06194
246975039,35.9118,22.6564,8.54,G06194
246982028,36.4471,20.2797,7.16,G06194
247012154,37.3237,21.5935,7.5,G06194
247018046,38.6421,21.692,8.24,G06194
247374593,41.0292,22.4017,9.9,G06194
247433945,42.6788,19.16,6.09,G06194
306451533,33.0651,23.9571,7.25,G06194
306486373,33.332,20.5822,7.93,G06194
381459932,37.6353,25.2345,5.48,G06194
408671983,36.1439,15.684,8.42,G06194
408743696,36.6792,17.5978,8.18,G06194
408836353,39.3664,16.8247,9.03,G06194
436852072,40.8651,24.3054,8.99,G06194
436852174,40.8812,24.0226,9.51,G06194
436922073,43.2601,27.5298,8.7,G06194
52159113,40.9548,16.1034,8.0,G06194
5671391,32.8504,24.5229,7.84,G06194
5724047,33.4155,25.3647,8.8,G06194
61014233,38.0119,18.3736,8.01,G06194
91415280,44.1109,18.0217,5.13,G06194
91481801,44.7937,19.9897,6.98,G06200;G06194;G06148;20SECONDTARGET
91516910,45.2957,19.4026,7.97,G06194
101128724,54.8202,30.0792,9.03,G06194
101256605,56.1638,30.9197,9.4,G06194
